Depth	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7
0	5.5	6.3	8.8	8.6	7.5	7.5	8.9
0.3048	5.5	6	8.6	8.4	7.4	6.5	8.6
0.6096	5.3	5.9	8.2	8.4	7.4	6.5	8.3
0.9144	5.3	6	8	8.2	7.3	6.4	8.4
1.2192	5.3	5.9	7.7	9	7.3	6.5	8.2
1.524	5.3	6	14.9	9	7.3	6.3	8.5
1.8288	5.3	6.4	7.8	18.4	7	6.4	8.7
2.1336	5.4	6.3	5.7	8.6	7.1	2.8	5.1
2.4384	5	5.4	4.8	4.7	0.2	0.3	2.4
2.7432	4.2	5.5	2.9	1.2	0.1	0.2	0.6
3.048	4.3	3.8	0.5	0.3	0.1	0.1	0.4
3.3528	2.7	1.8	0.4	0.2	0.1	0.1	0.2
3.6576	1.9	0.8	0.2	0.1	0	0	0
3.9624	0.5	0.3	0.1	0.1	0	0	0
4.2672	0.4	0.1	0	0	0	0	0
4.572	0.6	0.1	0	0	0	0	0
4.8768	0.2	0.1	0	0	0	0	0
5.1816	0.1	0	0	0			
