OTU_ID	2R	19R	26R	31R	42R	51R	62R	68R	71R	81R	84R
29626	0	0	0	0	0	0	8	0	0	0	0
49090	0	0	0	0	0	0	466	0	0	0	0
77833	0	0	0	0	0	0	4	0	0	0	0
156744	0	0	0	0	0	0	2	0	0	0	0
204252	0	0	0	0	0	0	3	0	0	0	0
225608	0	0	0	0	0	0	2	0	0	0	0
233972	0	0	0	0	0	0	11	0	0	0	0
254780	0	0	0	0	0	0	2	0	0	0	0
301504	0	0	0	0	0	0	19	0	0	0	0
447507	0	0	0	0	0	0	3	0	0	0	0
47773	0	0	0	0	0	5	0	0	0	0	0
192481	0	0	0	0	0	5	0	0	0	0	0
193531	0	0	0	0	0	0	0	17	0	0	0
297380	0	0	0	0	0	0	0	3	0	0	0
304234	0	0	0	0	0	0	0	3	0	0	0
402911	0	0	0	0	0	2	0	0	0	0	0
405179	0	0	0	0	0	0	0	3	0	0	0
29316	0	0	0	0	0	0	0	2	0	0	0
71303	0	0	0	0	0	0	0	8	0	0	0
99319	0	0	0	0	0	3	0	0	0	0	0
199338	0	0	0	0	0	4	0	0	0	0	0
217959	0	0	0	0	0	0	0	2	0	0	0
229541	0	0	0	0	0	0	0	2	0	0	0
360482	0	0	0	0	0	6	0	0	0	0	0
396889	0	0	0	0	0	0	0	8	0	0	0
419634	0	0	0	0	0	0	0	2	0	0	0
444296	0	0	0	0	0	0	0	4	0	0	0
208960	0	0	2	0	0	0	0	0	0	0	0
235877	0	0	2	0	0	0	0	0	0	0	0
8239	0	0	0	0	0	0	0	4	0	0	0
43413	0	0	0	0	0	0	0	9	0	0	0
48976	0	0	4	0	0	0	0	0	0	0	0
81949	3	0	0	0	0	0	0	0	0	0	0
89236	0	0	0	0	0	5	0	0	0	0	0
92210	0	2	0	0	0	0	0	0	0	0	0
97467	0	0	0	0	0	4	0	0	0	0	0
128883	0	0	0	4	0	0	0	0	0	0	0
171558	2	0	0	0	0	0	0	0	0	0	0
219888	0	0	0	0	0	0	0	4	0	0	0
232945	0	0	0	0	0	0	0	2	0	0	0
241891	0	0	3	0	0	0	0	0	0	0	0
248840	0	0	0	0	0	0	0	0	0	19	0
253728	0	0	0	0	0	0	0	2	0	0	0
260320	0	0	2	0	0	0	0	0	0	0	0
290008	0	0	0	0	0	3	0	0	0	0	0
323669	0	0	0	0	0	0	0	3	0	0	0
324482	2	0	0	0	0	0	0	0	0	0	0
