Sample ID	top depth (m)	ATP (pg/ml)	carbonate vein intenstiy	clay vein intensity	alteration intensity	fracturing intensity	graphic lithology	average cells/cm3	volatile content 	OH from clays 
2	10.73	0.6	0	0	2	1	1	131.4	1.293	0.0861
19	168.37	0	0	0	2.5	2	2	584.7 60359.5	2.089	0.3412
26	228.79	0	0	0	4	2	3	1655.5	5.181	0.4529
31	274.55	0	0.5	1.5	4	3	3	282.75	1.893	0.0987
42	382.69	0.3	4	0	2	0	4	130.885	16.81	0.7814
51	460.4	0	2	2	4	2	4	502	4.649	0.3211
62	558.5	0	2	3	2	0	3	227.75	14.88	0.4668
68	619.64	0.29	0	0	1	0	2	115.25	1.544	0
71	643.87	1.04	0	4	3	0	2	214.5	0.2281	0
81	714.86	0.448	0	0	3	0	1	1585	1.639	0
84	747.73	0.73	0	0	4	2	2	135.885	4.728	1.083
