ID	X2R	X19R	X26R	X31R	X42R	X51R	X62R	X68R	X71R	X81R	X84R
414203	0	0	1228	0	0	0	0	0	0	0	0
335818	0	0	0	1	0	0	0	0	1	0	1122
148073	0	0	1024	0	0	0	0	0	0	0	0
236886	0	2	0	1	0	0	0	0	0	0	892
63545	0	0	0	0	0	0	0	422	0	0	0
255077	0	0	0	0	0	0	0	243	0	0	0
243648	0	0	0	0	0	0	0	225	0	0	0
150740	0	0	0	0	0	0	153	0	0	0	0
164116	0	0	0	0	0	0	2	135	0	0	0
135534	0	0	0	0	0	0	0	136	0	0	0
282174	0	0	0	0	0	108	12	0	0	0	0
294245	0	0	0	0	0	0	1	101	0	0	0
229549	0	0	80	14	0	0	0	0	0	0	0
449439	0	0	0	0	0	0	0	92	0	0	0
300761	0	0	0	0	0	0	1	91	0	0	0
278681	0	0	0	0	0	0	0	84	0	0	0
19725	0	0	0	0	80	0	0	0	0	0	0
77444	0	0	0	0	0	0	0	66	2	1	9
314682	0	0	0	0	6	0	0	52	0	0	0
424681	0	0	42	13	0	0	0	1	0	0	0
434330	0	0	0	0	0	0	0	42	2	0	7
107115	0	0	0	0	0	0	0	0	50	0	0
227796	0	0	0	0	0	50	0	0	0	0	0
141438	0	0	0	0	0	0	0	42	0	0	0
29047	0	0	0	0	41	0	0	0	0	0	0
12894	0	0	41	0	0	0	0	0	0	0	0
100554	0	0	36	0	0	0	0	0	0	0	0
373532	0	0	0	0	0	0	0	35	0	0	0
10909	0	0	0	0	1	0	0	32	0	0	0
171015	0	0	0	0	1	0	0	30	0	0	0
236596	0	0	0	0	0	0	0	30	0	0	0
386023	0	0	0	0	0	0	0	27	0	0	0
244148	0	0	0	0	0	0	0	27	0	0	0
205760	0	0	0	0	0	0	0	24	0	0	0
17091	0	0	0	0	0	0	0	4706	0	0	0
355877	0	0	1	0	0	0	0	4096	0	0	0
274241	0	0	0	0	0	0	0	3687	0	1	0
433731	0	0	0	0	81	0	0	3518	0	0	0
323830	0	0	0	0	0	0	0	3233	0	0	0
56025	0	0	0	0	0	0	0	3102	0	0	0
71495	0	0	0	0	1	0	0	2692	0	0	0
425917	0	0	0	0	0	0	0	2597	0	0	0
198165	0	0	0	0	1	0	0	2463	0	0	0
22247	0	0	0	0	0	1409	0	0	0	0	0
67672	0	3	0	3	0	0	0	0	0	0	1332
122687	0	2	0	1	0	0	0	0	0	0	1318
213792	0	0	0	1	0	0	0	0	0	0	1280
262208	0	0	0	0	0	1171	0	1	0	2	0
413370	0	0	0	0	0	1163	0	0	0	0	0
288579	0	0	1147	0	0	0	0	0	0	0	0
394981	3	0	0	0	0	0	0	167	0	853	0
178839	0	0	0	0	0	983	0	0	0	0	0
165699	0	0	0	1	0	0	0	0	0	0	953
255887	0	0	0	0	0	913	0	0	0	0	0
218577	0	0	743	0	0	0	0	0	0	0	0
112272	0	1	0	1	0	0	0	0	0	0	692
337488	0	0	686	0	0	0	0	0	0	0	0
292069	0	0	0	0	0	638	0	0	0	0	0
313602	0	0	610	0	0	1	26	0	0	0	0
87927	0	0	565	0	0	0	0	0	0	0	0
249436	0	0	0	0	0	0	0	536	0	0	0
30608	0	0	528	0	0	0	0	0	0	0	0
99127	0	0	516	0	0	0	0	0	0	0	0
280567	0	0	0	0	0	0	0	515	0	0	0
232952	0	0	420	0	0	0	72	0	0	0	0
232062	0	0	0	0	0	0	0	479	0	0	0
49090	0	0	0	0	0	0	466	0	0	0	0
95339	0	0	0	0	0	0	0	423	0	0	0
351138	0	0	0	0	0	0	0	395	0	0	0
61350	0	0	0	0	0	0	0	390	0	0	0
292919	0	0	0	0	0	0	0	388	0	0	0
450288	0	2	0	375	0	0	0	0	0	0	0
141828	0	0	0	0	0	0	0	363	0	0	0
74045	0	0	265	0	0	16	0	38	0	0	0
279363	2	0	280	0	0	0	0	0	0	0	1
341961	0	0	0	0	0	0	0	280	0	0	0
258910	0	1	0	0	276	0	0	0	0	0	0
9496	0	0	264	0	0	0	0	0	0	0	0
206301	0	0	39	0	0	0	223	1	0	0	0
266027	0	0	0	0	0	0	0	252	0	0	0
180356	0	0	0	0	0	0	0	251	0	0	0
363637	0	0	6	0	0	243	0	0	0	0	0
110155	0	0	0	244	0	0	0	0	0	0	0
