cast	year	month	day	depth	dissolved_O2
1	2017	7	10	0	5.5
1	2017	7	10	0.3048	5.5
1	2017	7	10	0.6096	5.3
1	2017	7	10	0.9144	5.3
1	2017	7	10	1.2192	5.3
1	2017	7	10	1.524	5.3
1	2017	7	10	1.8288	5.3
1	2017	7	10	2.1336	5.4
1	2017	7	10	2.4384	5
1	2017	7	10	2.7432	4.2
1	2017	7	10	3.048	4.3
1	2017	7	10	3.3528	2.7
1	2017	7	10	3.6576	1.9
1	2017	7	10	3.9624	0.5
1	2017	7	10	4.2672	0.4
1	2017	7	10	4.572	0.6
1	2017	7	10	4.8768	0.2
1	2017	7	10	5.1816	0.1
2	2017	7	18	0	6.3
2	2017	7	18	0.3048	6
2	2017	7	18	0.6096	5.9
2	2017	7	18	0.9144	6
2	2017	7	18	1.2192	5.9
2	2017	7	18	1.524	6
2	2017	7	18	1.8288	6.4
2	2017	7	18	2.1336	6.3
2	2017	7	18	2.4384	5.4
2	2017	7	18	2.7432	5.5
2	2017	7	18	3.048	3.8
2	2017	7	18	3.3528	1.8
2	2017	7	18	3.6576	0.8
2	2017	7	18	3.9624	0.3
2	2017	7	18	4.2672	0.1
2	2017	7	18	4.572	0.1
2	2017	7	18	4.8768	0.1
2	2017	7	18	5.1816	0
3	2017	7	24	0	8.8
3	2017	7	24	0.3048	8.6
3	2017	7	24	0.6096	8.2
3	2017	7	24	0.9144	8
3	2017	7	24	1.2192	7.7
3	2017	7	24	1.524	14.9
3	2017	7	24	1.8288	7.8
3	2017	7	24	2.1336	5.7
3	2017	7	24	2.4384	4.8
3	2017	7	24	2.7432	2.9
3	2017	7	24	3.048	0.5
3	2017	7	24	3.3528	0.4
3	2017	7	24	3.6576	0.2
3	2017	7	24	3.9624	0.1
3	2017	7	24	4.2672	0
3	2017	7	24	4.572	0
3	2017	7	24	4.8768	0
3	2017	7	24	5.1816	0
4	2017	8	3	0	8.6
4	2017	8	3	0.3048	8.4
4	2017	8	3	0.6096	8.4
4	2017	8	3	0.9144	8.2
4	2017	8	3	1.2192	9
4	2017	8	3	1.524	9
4	2017	8	3	1.8288	18.4
4	2017	8	3	2.1336	8.6
4	2017	8	3	2.4384	4.7
4	2017	8	3	2.7432	1.2
4	2017	8	3	3.048	0.3
4	2017	8	3	3.3528	0.2
4	2017	8	3	3.6576	0.1
4	2017	8	3	3.9624	0.1
4	2017	8	3	4.2672	0
4	2017	8	3	4.572	0
4	2017	8	3	4.8768	0
4	2017	8	3	5.1816	0
5	2017	8	18	0	7.5
5	2017	8	18	0.3048	7.4
5	2017	8	18	0.6096	7.4
5	2017	8	18	0.9144	7.3
5	2017	8	18	1.2192	7.3
5	2017	8	18	1.524	7.3
5	2017	8	18	1.8288	7
5	2017	8	18	2.1336	7.1
5	2017	8	18	2.4384	0.2
5	2017	8	18	2.7432	0.1
5	2017	8	18	3.048	0.1
5	2017	8	18	3.3528	0.1
5	2017	8	18	3.6576	0
5	2017	8	18	3.9624	0
5	2017	8	18	4.2672	0
5	2017	8	18	4.572	0
5	2017	8	18	4.8768	0
6	2017	8	24	0	7.5
6	2017	8	24	0.3048	6.5
6	2017	8	24	0.6096	6.5
6	2017	8	24	0.9144	6.4
6	2017	8	24	1.2192	6.5
6	2017	8	24	1.524	6.3
6	2017	8	24	1.8288	6.4
6	2017	8	24	2.1336	2.8
6	2017	8	24	2.4384	0.3
6	2017	8	24	2.7432	0.2
6	2017	8	24	3.048	0.1
6	2017	8	24	3.3528	0.1
6	2017	8	24	3.6576	0
6	2017	8	24	3.9624	0
6	2017	8	24	4.2672	0
6	2017	8	24	4.572	0
6	2017	8	24	4.8768	0
7	2017	8	31	0	8.9
7	2017	8	31	0.3048	8.6
7	2017	8	31	0.6096	8.3
7	2017	8	31	0.9144	8.4
7	2017	8	31	1.2192	8.2
7	2017	8	31	1.524	8.5
7	2017	8	31	1.8288	8.7
7	2017	8	31	2.1336	5.1
7	2017	8	31	2.4384	2.4
7	2017	8	31	2.7432	0.6
7	2017	8	31	3.048	0.4
7	2017	8	31	3.3528	0.2
7	2017	8	31	3.6576	0
7	2017	8	31	3.9624	0
7	2017	8	31	4.2672	0
7	2017	8	31	4.572	0
7	2017	8	31	4.8768	0
