cast	year	month	day	depth	sal
1	2017	7	10	0	14.6
1	2017	7	10	0.3048	14.6
1	2017	7	10	0.6096	14.6
1	2017	7	10	0.9144	14.6
1	2017	7	10	1.2192	14.6
1	2017	7	10	1.524	14.6
1	2017	7	10	1.8288	14.6
1	2017	7	10	2.1336	14.6
1	2017	7	10	2.4384	22.7
1	2017	7	10	2.7432	24
1	2017	7	10	3.048	24.9
1	2017	7	10	3.3528	25.3
1	2017	7	10	3.6576	25.7
1	2017	7	10	3.9624	26.1
1	2017	7	10	4.2672	26.5
1	2017	7	10	4.572	27
1	2017	7	10	4.8768	27.6
1	2017	7	10	5.1816	27.8
2	2017	7	18	0	6.1
2	2017	7	18	0.3048	13.9
2	2017	7	18	0.6096	14.1
2	2017	7	18	0.9144	14.1
2	2017	7	18	1.2192	14.2
2	2017	7	18	1.524	14.3
2	2017	7	18	1.8288	15.2
2	2017	7	18	2.1336	19.7
2	2017	7	18	2.4384	22.4
2	2017	7	18	2.7432	23.7
2	2017	7	18	3.048	24.8
2	2017	7	18	3.3528	25.4
2	2017	7	18	3.6576	25.7
2	2017	7	18	3.9624	26.2
2	2017	7	18	4.2672	26.5
2	2017	7	18	4.572	27.2
2	2017	7	18	4.8768	27.8
2	2017	7	18	5.1816	28.3
3	2017	7	24	0	15.9
3	2017	7	24	0.3048	16
3	2017	7	24	0.6096	16
3	2017	7	24	0.9144	16.1
3	2017	7	24	1.2192	16.1
3	2017	7	24	1.524	16.1
3	2017	7	24	1.8288	21.6
3	2017	7	24	2.1336	22.8
3	2017	7	24	2.4384	23.8
3	2017	7	24	2.7432	24.7
3	2017	7	24	3.048	25.2
3	2017	7	24	3.3528	25.4
3	2017	7	24	3.6576	25.8
3	2017	7	24	3.9624	25.9
3	2017	7	24	4.2672	26.3
3	2017	7	24	4.572	26.8
3	2017	7	24	4.8768	27.9
3	2017	7	24	5.1816	28.2
4	2017	8	3	0	15.4
4	2017	8	3	0.3048	16.5
4	2017	8	3	0.6096	16.5
4	2017	8	3	0.9144	16.5
4	2017	8	3	1.2192	16.6
4	2017	8	3	1.524	16.6
4	2017	8	3	1.8288	19.2
4	2017	8	3	2.1336	22.5
4	2017	8	3	2.4384	23.8
4	2017	8	3	2.7432	24.5
4	2017	8	3	3.048	25.2
4	2017	8	3	3.3528	25.5
4	2017	8	3	3.6576	26
4	2017	8	3	3.9624	26.5
4	2017	8	3	4.2672	26.8
4	2017	8	3	4.572	27.3
4	2017	8	3	4.8768	27.9
4	2017	8	3	5.1816	28.3
5	2017	8	18	0	16.7
5	2017	8	18	0.3048	16.7
5	2017	8	18	0.6096	16.7
5	2017	8	18	0.9144	16.7
5	2017	8	18	1.2192	16.7
5	2017	8	18	1.524	16.7
5	2017	8	18	1.8288	16.7
5	2017	8	18	2.1336	21.3
5	2017	8	18	2.4384	23.1
5	2017	8	18	2.7432	24.5
5	2017	8	18	3.048	25.4
5	2017	8	18	3.3528	25.8
5	2017	8	18	3.6576	26.1
5	2017	8	18	3.9624	26.3
5	2017	8	18	4.2672	26.6
5	2017	8	18	4.572	27.1
5	2017	8	18	4.8768	27.8
6	2017	8	24	0	17
6	2017	8	24	0.3048	17.6
6	2017	8	24	0.6096	17.7
6	2017	8	24	0.9144	17.7
6	2017	8	24	1.2192	17.8
6	2017	8	24	1.524	17.8
6	2017	8	24	1.8288	17.8
6	2017	8	24	2.1336	17.8
6	2017	8	24	2.4384	23.3
6	2017	8	24	2.7432	24.9
6	2017	8	24	3.048	25.5
6	2017	8	24	3.3528	25.9
6	2017	8	24	3.6576	26.2
6	2017	8	24	3.9624	26.2
6	2017	8	24	4.2672	26.6
6	2017	8	24	4.572	27
6	2017	8	24	4.8768	27.7
7	2017	8	31	0	14.4
7	2017	8	31	0.3048	17.2
7	2017	8	31	0.6096	17.3
7	2017	8	31	0.9144	17.4
7	2017	8	31	1.2192	17.4
7	2017	8	31	1.524	17.4
7	2017	8	31	1.8288	17.4
7	2017	8	31	2.1336	22
7	2017	8	31	2.4384	23.5
7	2017	8	31	2.7432	23.5
7	2017	8	31	3.048	24.6
7	2017	8	31	3.3528	25.3
7	2017	8	31	3.6576	25.7
7	2017	8	31	3.9624	25.8
7	2017	8	31	4.2672	26.2
7	2017	8	31	4.572	26.6
7	2017	8	31	4.8768	27.2
