	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp.	0	0	0	0	0	0	0	1.82475E-05	0	0	0	0	0	5.05702E-05	5.50485E-05	0	1.52267E-05	0	0	0	8.83335E-05	9.41265E-06	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Armophorea; Armophorea_X; Caenomorphidae; Caenomorpha; Caenomorpha_sp.	0	0	0	0	2.77416E-05	0	0	0	0	0	0	0	0	0	0	0	0.041233974	0	0	4.04662E-05	0.063471669	0.000395331	5.61845E-05	0	0.022337616	5.26247E-06
Eukaryota; Alveolata; Ciliophora; CONTH_3; CONTH_3_X; CONTH_3_XX; CONTH_3_XXX; CONTH_3_XXX_sp.	0	0	1.56836E-05	0	2.77416E-05	0	0	0.000127733	0	0	0	8.93655E-05	0.000123341	0	0	3.58269E-05	0.001507446	0	7.5171E-05	0.00242797	0.00672941	0.000621235	9.36408E-06	3.29511E-05	0.00064047	0
Eukaryota; Alveolata; Ciliophora; CONTH_8; CONTH_8_X; CONTH_8_XX; CONTH_8_XXX; CONTH_8_XXX_sp.	2.26137E-05	0	0	0	0	0	0	0	6.85768E-06	0	0	0	0	0	1.10097E-05	0	3.04535E-05	1.04271E-05	3.00684E-05	8.09323E-05	0	0.000291792	9.36408E-05	1.64756E-05	0.000216774	4.20997E-05
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; CONThreeP_XX; Askenasia; Askenasia_sp.	6.78411E-05	0.000152184	0	0	2.77416E-05	0	1.24324E-05	1.82475E-05	0	0	4.58274E-05	0	0	0	5.50485E-05	7.16538E-05	0	4.17084E-05	3.00684E-05	0	3.21213E-05	2.8238E-05	0.000103005	0.000378938	2.95601E-05	1.57874E-05
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; CONThreeP_XX; Paraspathidium; Paraspathidium_apofuscum	0	0	0	0	0	0	0	1.82475E-05	0	0	0	0	1.23341E-05	0	0	0	0.000334988	0	0	0	0.003316523	0.000235316	0	0	0	0
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; Urotrichidae; Urotricha; Urotricha_sp.	0	0.000152184	0	0	0	0	0	0	0	0	0	0	0	0	1.10097E-05	3.58269E-05	9.13604E-05	0.002356523	0	0	8.03032E-06	0	0.00020601	0.000395413	0.000246335	0.000173661
Eukaryota; Alveolata; Ciliophora; Karyorelictea; Karyorelictea_X; Geleiidae; Geleia; Geleia_sp.	0	0	0	0	0	0	0	0.000693405	0	0	0	0.000714924	0.00020968	0	0	0.001182287	0.011008923	1.04271E-05	0.000187928	0.001092587	0.00721123	0.001826054	2.80923E-05	1.64756E-05	0.016888696	1.05249E-05
Eukaryota; Alveolata; Ciliophora; Litostomatea; Haptoria_5; Pleurostomatida; Pleurostomatida_X; Pleurostomatida_X_sp.	0	0	0.000172519	0	0	0	0	1.82475E-05	0	0	0	0	0	0	0	0.007093723	0.002481956	1.04271E-05	0	0.00052606	0	0.007134789	0	0.000345987	0.010996374	0
Eukaryota; Alveolata; Ciliophora; Litostomatea; Litostomatea_X; Litostomatea_XX; Litostomatea_XXX; Litostomatea_XXX_sp.	0	0	0.015401264	6.88137E-05	0.124726052	0	1.24324E-05	0.039177402	4.80037E-05	1.13746E-05	4.58274E-05	0.002085195	2.46682E-05	0	0	3.58269E-05	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; OLIGO5; OLIGO5_X; OLIGO5_XX; OLIGO5_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52267E-05	0	0	4.04662E-05	0	0	0.000280923	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; OLIGO6; OLIGO6_X; OLIGO6_XX; OLIGO6_XX_sp.	0	0	1.56836E-05	0	2.77416E-05	0	0	0.00014598	0	0	0	0	1.23341E-05	0	0	0	0.00167494	1.04271E-05	0	0.00084979	0.005155467	5.64759E-05	9.36408E-06	0	0.000285748	5.26247E-06
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; OLIGO8; OLIGO8_X; OLIGO8_XX; OLIGO8_XX_sp.	0	0	0	0	2.77416E-05	0	0	7.299E-05	0	0	0	0	0.00020968	0	0	0	0.005237994	0	0	0.033303658	0.011041693	7.53012E-05	9.36408E-06	0	0.00349795	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Oligohymenophorea_X; Oligohymenophorea_XX; Oligohymenophorea_XXX; Oligohymenophorea_XXX_sp.	0	0	0	0	0	0	0	0	6.85768E-06	0	0	0	0	0	0	3.58269E-05	0	0	0	0	0.000144546	0	1.87282E-05	0	3.94135E-05	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Peniculia; Frontoniidae_1; Frontonia_1; Frontonia_subtropica	0	0	0.000862596	0	8.32247E-05	0	0	1.82475E-05	0	0	0	0	0.000974394	0	0	0	0	0	7.5171E-06	4.04662E-05	0.000128485	9.41265E-06	0	1.64756E-05	1.97068E-05	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Peritrichia_2; Sessilida; Sessilida_X; Sessilida_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0.000506405	0	0.002907785	0	0	0	0	5.26197E-05	0.000283263	0	0.000131777	0	1.64756E-05	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_1; Philasterida; Uronemella; Uronemella_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5171E-06	0	0	0.000197666	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Pleuronematida; Cyclidium_2; Cyclidium_plouneouri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04535E-05	0	0	0	4.81819E-05	3.76506E-05	0	0	8.86804E-05	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cristigera; Cristigera_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121814	0	0	0	0.001565913	0	0	0	9.85338E-05	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cyclidium_3; Cyclidium_glaucoma	4.52274E-05	0	1.56836E-05	0	0	0	0	3.6495E-05	0	1.13746E-05	0	8.93655E-05	0.000111007	0	0	0.000143308	3.04535E-05	0	6.01368E-05	0.000202331	0.000160606	0.000828313	9.36408E-06	0.000131804	0.000177361	5.26247E-06
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cyclidium_3; Cyclidium_varibonneti	0	0	0	0	5.54831E-05	0	0	0	0	0	0	5.9577E-05	0.000111007	0	0	3.58269E-05	1.52267E-05	0	4.51026E-05	4.04662E-05	3.21213E-05	0.000329443	2.80923E-05	3.29511E-05	5.91203E-05	0
