	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Ciliophora; Armophorea; Armophorea_X; Caenomorphidae; Caenomorpha; Caenomorpha_sp.	0	0	0	0	0.005267026	0	0	0	0	0	0	0	0	0	0	0	0.203061503	0	0	0.006361303	0.251935843	0.019882941	0.007495633	0	0.149457741	0.002294006
Eukaryota; Alveolata; Ciliophora; Karyorelictea; Karyorelictea_X; Geleiidae; Geleia; Geleia_sp.	0	0	0	0	0	0	0	0.026332591	0	0	0	0.026738063	0.014480325	0	0	0.034384403	0.104923414	0.003229101	0.013708666	0.033054298	0.084918959	0.042732356	0.005300213	0.004059009	0.129956517	0.003244215
Eukaryota; Alveolata; Ciliophora; Litostomatea; Haptoria_5; Pleurostomatida; Pleurostomatida_X; Pleurostomatida_X_sp.	0	0	0.013134658	0	0	0	0	0.00427171	0	0	0	0	0	0	0	0.084224243	0.049819237	0.003229101	0	0.022936003	0	0.084467681	0	0.018600714	0.104863597	0
Eukaryota; Alveolata; Ciliophora; Litostomatea; Litostomatea_X; Litostomatea_XX; Litostomatea_XXX; Litostomatea_XXX_sp.	0	0	0.12410183	0.008295399	0.353165757	0	0.003525961	0.197932823	0.006928472	0.003372629	0.006769595	0.045663937	0.00496671	0	0	0.005985556	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Cyrtophoria_4; Chilodonellidae; Chilodonellidae_X; Chilodonellidae_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.012165906	0	0	0.008464855	0.054630013	0	0.073055746	0.036542901	0.066518476	0.058614141	0.024860201	0.067677197	0.168544651	0.008884649
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_R; Strombidium_R; Strombidium_R_sp.	0.045363486	0.052338409	0.035861576	0.095017636	0	0.040624286	0.058258432	0.009551835	0.033330819	0.021857131	0.027078379	0.007718614	0.024331813	0.041769261	0.306326083	0.145018555	0.074243348	0.307053386	0.013708666	0.014224305	0.017696965	0.005313939	0.135682685	0.060613923	0.033662128	0.114860789
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Strombidium; Strombidium_sp.	0.040350783	0.050863791	0.009700588	0.024042352	0.005267026	0.050889613	0.080249502	0.012082221	0.100778062	0.088912109	0.027911754	0.070319921	0.027653473	0.077574811	0.049438379	0	0	0	0	0	0.016764883	0.005313939	0.06759936	0.037859911	0.054999893	0.120953107
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Tintinnida_X; Tintinnida_XX; Tintinnida_XX_sp.	0.023776927	0.020457408	0	0	0	0.053799902	0.051338763	0.041415768	0.023857642	0.052139572	0.011725282	0.033199014	0.040196616	0.047968147	0	0	0.005518465	0	0.011304456	0.039213703	0.005667565	0.014713632	0.208197861	0.159235272	0.206245118	0.214019858
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Gonyaulacaceae; Gonyaulax; Gonyaulax_spinifera	0	0.110511325	0.003960249	0.010492943	0.005267026	0	0	0	0	0	0.022452206	0.073428324	0.053608271	0.026607941	0.051510558	0.087969353	0	0.04679412	0.033579238	0.063613026	0.033168572	0.003068004	0	0	0	0.041419364
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_dominans	0.629635295	0.581377936	0.333461391	0.101529726	0.179156313	0.14054612	0.170453853	0.176799274	0.16297171	0.144354805	0.05110932	0.272511898	0.206223176	0.121100586	0.389772811	0.541188304	0.230919887	0.273350606	0.668184646	0.491428636	0.452412268	0.653405698	0.221237592	0.310162438	0.379469788	0.25584086
