#OTU ID	071017-C1D2	071017-C2D1	071017-C2D3	071817-C1D1	071817-C1D2	071817-C1D3	071817-C2D1	072617-C1D1	072617-C1D2	072617-C1D3	072617-C2D1	072617-C2D2	080317-C1D1	080317-C1D2	080317-C1D3	080317-C2D1	081817-C1D1	081817-C1D2	081817-C1D3	081817-C2D1	082417-C1D1	082417-C1D2	082417-C1D3	082417-C2D1	083017-C1D1	083017-C1D2	083017-C1D3	083017-C2D1	level1
denovo8878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	2	Eukaryota; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp.
denovo15918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	Eukaryota; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp.
denovo19882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Eukaryota; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp.
denovo9774	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	5	0	1	0	0	0	11	1	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp.
denovo18185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Colpodellidae; Colpodellidae_X; Colpodella; Colpodella_sp.
denovo7657	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Colpodellidae; Colpodellidae_X; Colpodellidae_XX; Colpodellidae_XX_sp.
denovo15759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Colpodellidae; Colpodellidae_X; Colpodellidae_XX; Colpodellidae_XX_sp.
denovo19790	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Colpodellidae; Colpodellidae_X; Colpodellidae_XX; Colpodellidae_XX_sp.
denovo672	0	3	3	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Cephaloidophoroidea; Cephaloidophoroidea_X; Cephaloidophoroidea_X_sp.
denovo3179	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Cephaloidophoroidea; Cephaloidophoroidea_X; Cephaloidophoroidea_X_sp.
denovo1858	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Gregarines_X; Gregarines_XX; Gregarines_XX_sp.
denovo9111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Gregarines_X; Gregarines_XX; Gregarines_XX_sp.
denovo17551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Gregarines_X; Gregarines_XX; Gregarines_XX_sp.
denovo683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Gregarines_X; Selenidium; Selenidium_sp.
denovo19470	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Novel-Apicomplexa-Class-1; Novel-Apicomplexa-Class-1_X; Novel-Apicomplexa-Class-1_XX; Novel-Apicomplexa-Class-1_XX_sp.
denovo713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Eukaryota; Alveolata; Ciliophora; Armophorea; Armophorea_X; Caenomorphidae; Caenomorpha; Caenomorpha_sp.
denovo1896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Eukaryota; Alveolata; Ciliophora; Armophorea; Armophorea_X; Caenomorphidae; Caenomorpha; Caenomorpha_sp.
denovo1927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Eukaryota; Alveolata; Ciliophora; Armophorea; Armophorea_X; Caenomorphidae; Caenomorpha; Caenomorpha_sp.
denovo3668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Eukaryota; Alveolata; Ciliophora; Armophorea; Armophorea_X; Caenomorphidae; Caenomorpha; Caenomorpha_sp.
