Cluster 1 ASV_ID	Cluster 1 Taxonomy	Cluster 2 ASV_ID	Cluster 2 Taxonomy	Cluster 3 ASV_ID	Cluster 3 Taxonomy	Cluster 4 ASV_ID	Cluster 4 Taxonomy	Cluster 5 ASV_ID	Cluster 5 Taxonomy
13	Eukaryota;Alveolata;Apicomplexa;Apicomplexa;Gregarines	46	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia-2;Sessilida	2	Eukaryota;Alveolata	14	Eukaryota;Alveolata;Apicomplexa;Gregarines;Gregarinidae	27	Eukaryota;Alveolata;Ciliophora;CONTH8
10	Eukaryota;Alveolata;Apicomplexa;Colpodellidae;Colpodella	50	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia-2;Sessilida;Zoothamnopsis	26	Eukaryota;Alveolata;Ciliophora;CONTH3	29	Eukaryota;Alveolata;Ciliophora;CONThreeP;Askenasia	79	Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Synhymenia;Orthodonellidae;Zosterodasys
18	Eukaryota;Alveolata;Ciliophora	69	Eukaryota;Alveolata;Ciliophora;Phyllopharyngea	30	Eukaryota;Alveolata;Ciliophora;CONThreeP;Paraspathidium	31	Eukaryota;Alveolata;Ciliophora;CONThreeP;Urotrichidae;Urotricha	94	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;StrobilidiidaeI;Pelagostrobilidium
68	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia-2;Protocyclidium	85	Eukaryota;Alveolata;Ciliophora;Prostomatea-2;Placidae;Spathidiopsis	36	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea	91	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae-A;Rimostrombidium-A	114	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae-K
89	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida	95	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae	38	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;OLIGO6	98	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Euplotia;Aspidiscidae;Aspidisca	129	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;Eutintinnidae
123	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae	111	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae-F;Strombidium-F	39	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;OLIGO8	109	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida	136	Eukaryota;Alveolata;Dinoflagellata
116	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae-K;Strombidium-K	117	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae-L	44	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Frontoniidae-1;Frontonia-1	122	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae-R;Strombidium-R	148	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax
128	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida	121	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae-R	66	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia-2;Cristigera	125	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;Strombidium	149	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Lingulodinium
133	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;TIN07;Tintinnopsis07	126	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Tontoniidae-A;Laboea	60	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia-2;Pleuronematida;Cyclidium-2	139	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae	150	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrophacaceae;Fragilidium
137	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae	134	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;TIN11	61	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia-2;Pleuronematida;Pleuronema	141	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis	151	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrophacaceae;Pyrophacus
