Sample ID	Month	Depth
031918-C1D1-plate1-wellA1	March	1
031918-C1D2-plate1-wellA3	March	2
031918-C1D3-plate1-wellA5	March	3
031918-C2D1-plate1-wellA2	March	1
031918-C2D2-plate1-wellA4	March	2
031918-C2D3-plate1-wellA6	March	3
032918-C1D1-plate1-wellA7	March	1
032918-C1D2-plate1-wellA9	March	2
032918-C1D3-plate1-wellA11	March	3
032918-C2D1-plate1-wellA8	March	1
032918-C2D2-plate1-wellA10	March	2
032918-C2D3-plate1-wellA12	March	3
040818-C1D1-plate1-wellB1	April	1
040818-C1D2-plate1-wellB3	April	2
040818-C1D3-plate1-wellB5	April	3
040818-C2D1-plate1-wellB2	April	1
040818-C2D2-plate1-wellB4	April	2
040818-C2D3-plate1-wellB6	April	3
041118-C1D1-plate1-wellB7	April	1
041118-C1D2-plate1-wellB9	April	2
041118-C1D3-plate1-wellB11	April	3
041118-C2D1-plate1-wellB8	April	1
041118-C2D2-plate1-wellB10	April	2
041118-C2D3-plate1-wellB12	April	3
041318-C1D1-plate1-wellC1	April	1
041318-C1D2-plate1-wellC3	April	2
041318-C1D3-plate1-wellC5	April	3
041318-C2D1-plate1-wellC2	April	1
041318-C2D2-plate1-wellC4	April	2
041318-C2D3-plate1-wellC6	April	3
041918-C1D1-plate1-wellC7	April	1
041918-C1D2-plate1-wellC9	April	2
041918-C1D3-plate1-wellC11	April	3
041918-C2D1-plate1-wellC8	April	1
041918-C2D2-plate1-wellC10	April	2
041918-C2D3-plate1-wellC12	April	3
042418-C1D1-plate1-wellD1	April	1
042418-C1D2-plate1-wellD3	April	2
042418-C1D3-plate1-wellD5	April	3
042418-C2D1-plate1-wellD2	April	1
042418-C2D2-plate1-wellD4	April	2
042418-C2D3-plate1-wellD6	April	3
042718-C1D1-plate1-wellD7	April	1
042718-C1D2-plate1-wellD9	April	2
042718-C1D3-plate1-wellD11	April	3
042718-C2D1-plate1-wellD8	April	1
042718-C2D2-plate1-wellD10	April	2
042718-C2D3-plate1-wellD12	April	3
042918-C1D1-plate1-wellE1	April	1
042918-C1D2-plate1-wellE3	April	2
042918-C1D3-plate1-wellE5	April	3
042918-C2D1-plate1-wellE2	April	1
042918-C2D2-plate1-wellE4	April	2
042918-C2D3-plate1-wellE6	April	3
050218-C1D1-plate1-wellE7	May	1
050218-C1D2-plate1-wellE9	May	2
050218-C2D1-plate1-wellE8	May	1
050218-C2D2-plate1-wellE10	May	2
050418-C1D1-plate1-wellE11	May	1
050418-C1D2-plate1-wellF1	May	2
050418-C1D3-plate1-wellF3	May	3
050418-C2D1-plate1-wellE12	May	1
050418-C2D2-plate1-wellF2	May	2
050418-C2D3-plate1-wellF4	May	3
050718-C1D1-plate1-wellF5	May	1
050718-C1D2-plate1-wellF7	May	2
050718-C1D3-plate1-wellF9	May	3
050718-C2D1-plate1-wellF6	May	1
050718-C2D2-plate1-wellF8	May	2
050718-C2D3-plate1-wellF10	May	3
050918-C1D1-plate1-wellF11	May	1
050918-C1D2-plate1-wellG1	May	2
050918-C1D3-plate1-wellG3	May	3
050918-C2D1-plate1-wellF12	May	1
050918-C2D2-plate1-wellG2	May	2
050918-C2D3-plate1-wellG4	May	3
051118-C1D1-plate1-wellG5	May	1
051118-C1D2-plate1-wellG7	May	2
051118-C1D3-plate1-wellG9	May	3
051118-C2D1-plate1-wellG6	May	1
051118-C2D2-plate1-wellG8	May	2
051118-C2D3-plate1-wellG10	May	3
051518-C1D1-plate1-wellG11	May	1
051518-C1D2-plate1-wellH1	May	2
051518-C1D3-plate1-wellH3	May	3
051518-C2D1-plate1-wellG12	May	1
051518-C2D2-plate1-wellH2	May	2
051518-C2D3-plate1-wellH4	May	3
051918-C1D1-plate1-wellH5	May	1
051918-C1D2-plate1-wellH7	May	2
051918-C1D3-plate1-wellH9	May	3
051918-C2D1-plate1-wellH6	May	1
051918-C2D2-plate1-wellH8	May	2
051918-C2D3-plate1-wellH10	May	3
052118-C1D1-plate1-wellH11	May	1
052118-C1D3-plate2-wellA2	May	3
052118-C2D1-plate1-wellH12	May	1
052118-C2D2-plate2-wellA1	May	2
052118-C2D3-plate2-wellA3	May	3
052418-C1D1-plate2-wellA4	May	1
052418-C1D2-plate2-wellA6	May	2
052418-C1D3-plate2-wellA8	May	3
052418-C2D1-plate2-wellA5	May	1
052418-C2D2-plate2-wellA7	May	2
052418-C2D3-plate2-wellA9	May	3
052718-C1D1-plate2-wellA10	May	1
052718-C1D2-plate2-wellA12	May	2
052718-C1D3-plate2-wellB2	May	3
052718-C2D1-plate2-wellA11	May	1
052718-C2D2-plate2-wellB1	May	2
052918-C1D1-plate2-wellB3	May	1
052918-C1D2-plate2-wellB5	May	2
052918-C1D3-plate2-wellB7	May	3
052918-C2D1-plate2-wellB4	May	1
052918-C2D2-plate2-wellB6	May	2
052918-C2D3-plate2-wellB8	May	3
060118-C1D1-plate2-wellB9	June	1
060118-C1D2-plate2-wellB11	June	2
060118-C1D3-plate2-wellC1	June	3
060118-C2D1-plate2-wellB10	June	1
060118-C2D2-plate2-wellB12	June	2
060118-C2D3-plate2-wellC2	June	3
060518-C1D1-plate2-wellC3	June	1
060518-C1D2-plate2-wellC5	June	2
060518-C1D3-plate2-wellC7	June	3
060518-C2D1-plate2-wellC4	June	1
060518-C2D2-plate2-wellC6	June	2
060518-C2D3-plate2-wellC8	June	3
060718-C1D1-plate2-wellC9	June	1
060718-C1D2-plate2-wellC11	June	2
060718-C1D3-plate2-wellD1	June	3
060718-C2D1-plate2-wellC10	June	1
060718-C2D2-plate2-wellC12	June	2
060718-C2D3-plate2-wellD2	June	3
060918-C1D1-plate2-wellD3	June	1
060918-C1D2-plate2-wellD5	June	2
060918-C1D3-plate2-wellD7	June	3
060918-C2D1-plate2-wellD4	June	1
060918-C2D2-plate2-wellD6	June	2
060918-C2D3-plate2-wellD8	June	3
061118-C1D1-plate2-wellD9	June	1
061118-C1D2-plate2-wellD11	June	2
061118-C1D3-plate2-wellE1	June	3
061118-C2D1-plate2-wellD10	June	1
061118-C2D2-plate2-wellD12	June	2
061518-C1D3-plate2-wellE4	June	3
061518-C2D1-plate2-wellE2	June	1
061518-C2D2-plate2-wellE3	June	2
061518-C2D3-plate2-wellE5	June	3
061918-C1D1-plate2-wellE6	June	1
061918-C1D3-plate2-wellE9	June	3
061918-C2D1-plate2-wellE7	June	1
061918-C2D2-plate2-wellE8	June	2
061918-C2D3-plate2-wellE10	June	3
062218-C1D1-plate2-wellE11	June	1
062218-C1D2-plate2-wellF1	June	2
062218-C1D3-plate2-wellF3	June	3
062218-C2D1-plate2-wellE12	June	1
062218-C2D2-plate2-wellF2	June	2
062218-C2D3-plate2-wellF4	June	3
062618-C1D1-plate2-wellF5	June	1
062618-C1D2-plate2-wellF7	June	2
062618-C1D3-plate2-wellF9	June	3
062618-C2D1-plate2-wellF6	June	1
062618-C2D2-plate2-wellF8	June	2
062618-C2D3-plate2-wellF10	June	3
062918-C1D1-plate2-wellF11	June	1
062918-C1D2-plate2-wellG1	June	2
062918-C1D3-plate2-wellG3	June	3
062918-C2D1-plate2-wellF12	June	1
062918-C2D2-plate2-wellG2	June	2
062918-C2D3-plate2-wellG4	June	3
070318-C1D1-plate2-wellG5	July	1
070318-C1D2-plate2-wellG7	July	2
070318-C1D3-plate2-wellG9	July	3
070318-C2D1-plate2-wellG6	July	1
070318-C2D2-plate2-wellG8	July	2
070318-C2D3-plate2-wellG10	July	3
070518-C1D3-plate2-wellH1	July	3
070518-C2D1-plate2-wellG11	July	1
070518-C2D2-plate2-wellG12	July	2
070518-C2D3-plate2-wellH2	July	3
070918-C1D1-plate2-wellH3	July	1
070918-C1D2-plate2-wellH5	July	2
070918-C2D1-plate2-wellH4	July	1
070918-C2D2-plate2-wellH6	July	2
070918-C2D3-plate2-wellH8	July	3
