"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"Mar_19_rep2"	1.14935409598822	-0.492594433562277	-2.06873082694974	-0.13792704071782	-1.06533000196596	0.190226848020491	0.0612418256784125
"Mar_29_rep1"	1.15358138295005	-0.492377468725669	-2.0454769062022	-0.144270340853796	2.41727089701632	0.180007797260523	0.0566015367337281
"Mar_29_rep2"	0.338871522134006	-0.493941786582403	-2.02392777079577	-0.152609728465799	2.86778135684247	0.167058285219396	0.0459408751533623
"Apr_08_rep2"	-0.475039087364809	-0.495504365975395	-2.00237697158407	-0.160947167972811	4.85709618637816	0.154111438003991	0.0352860892263017
"Apr_11_rep1"	-0.47081180040298	-0.495287401138786	-1.97912305083654	-0.167290468108786	4.00796024810854	0.143892387244022	0.0306458002816174
"Apr_11_rep2"	1.17049053079748	-0.491509609379236	-1.95246122321208	-0.1696435413977	2.690539535849	0.13913159422065	0.0380403809549909
"Apr_13_rep1"	1.17471781775935	-0.491292644542628	-1.92920730246455	-0.175986841533676	2.01435391124445	0.128912543460681	0.0334000920103066
"Apr_13_rep2"	-0.458129939517419	-0.494636506628962	-1.90936128859395	-0.186320368516714	3.76497904685927	0.113235234964117	0.0167249334475645
"Apr_19_rep1"	1.18317239168304	-0.490858714869412	-1.88269946096949	-0.188673441805628	-0.942683264473966	0.108474441940745	0.0241195141209381
"Apr_19_rep2"	1.18739967864491	-0.490641750032804	-1.20740805100391	-0.195016741941603	-0.927352422287467	0.0982553911807764	0.0194792251762538
"Apr_24_rep1"	1.19162696560677	-0.490424785196196	-0.192748122669972	-0.201360042077579	-0.912021580100968	0.0880363404208082	0.0148389362315694
"Apr_24_rep2"	1.1958542525686	-0.490207820359588	0.301917497657037	-0.207703342213555	-0.896690737914469	0.0778172896608398	0.010198647286885
"Apr_27_rep1"	1.20008153953047	-0.489990855522979	-0.203359990532829	-0.214046642349531	-0.88135989572797	0.0675982389008715	0.00555835834220093
"Apr_27_rep2"	1.20430882649233	-0.489773890686371	-0.656750636364443	-0.220389942485507	-0.866029053541471	0.0573791881409033	0.000918069397516564
"May_02_rep1"	-0.428538930784432	-0.493117752772705	1.21726372876513	-0.230723469468545	-0.856184512061335	0.0417018796443393	-0.0157570891652257
"May_02_rep2"	-0.424311643822566	-0.492900787936097	1.52111232054857	-0.237066769604521	-0.840853669874835	0.0314828288843709	-0.0203973781099101
"May_04_rep1"	-0.4200843568607	-0.492683823099489	1.51575572057732	-0.243410069740497	-0.825522827688337	0.0212637781244027	-0.0250376670545945
"May_04_rep2"	1.22121797433972	-0.488906031339939	1.30711319548048	-0.245763143029411	-0.804705684795475	0.0165029851010299	-0.0176430863812206
"May_07_rep1"	-0.411629782937006	-0.492249893426272	1.83368406445789	-0.256096670012449	-0.794861143315338	0.000825676604466017	-0.0343182449439629
"May_07_rep2"	-0.40740249597514	-0.492032928589664	1.81975466816214	-0.262439970148425	-0.779530301128839	-0.00939337415550225	-0.0389585338886473
"May_09_rep1"	-0.403175209013311	-0.491815963753056	1.22008994398921	-0.268783270284401	-0.76419945894234	-0.0196124249154706	-0.0435988228333317
"May_09_rep2"	-0.398947922051445	-0.491598998916448	1.54847057707313	-0.275126570420377	-0.748868616755841	-0.0298314756754389	-0.048239111778016
"May_11_rep1"	-0.394720635089579	-0.49138203407984	1.37662113229751	0.808989907995489	-0.733537774569342	-0.0400505264354073	-0.0528794007227001
"May_11_rep2"	1.24658169611084	-0.48760424232029	1.19304222790835	-0.283822943845266	-0.712720631676481	-0.0448113194587799	-0.0454848200493266
"May_15_rep1"	1.25080898307271	-0.487387277483682	1.49415506115862	-0.290166243981242	-0.697389789489982	-0.0550303702187482	-0.0501251089940109
"May_15_rep2"	-0.382038774204018	-0.490731139570015	1.63114549652625	-0.30049977096428	-0.687545248009845	-0.0707076787153121	-0.0668002675567532
"May_19_rep1"	-0.377811487242152	-0.490514174733407	1.39769606754389	-0.306843071100256	-0.672214405823346	-0.0809267294752805	-0.0714405565014376
"May_19_rep2"	-0.373584200280323	-0.490297209896799	1.71283906999896	-0.313186371236232	-0.656883563636847	-0.0911457802352488	-0.0760808454461217
"May_21_rep1"	-0.369356913318458	-0.490080245060191	1.77535956592368	-0.319529671372208	-0.641552721450348	-0.101364830995217	-0.0807211343908061
"May_21_rep2"	-0.365129626356592	-0.489863280223583	1.9434903948216	-0.325872971508184	-0.626221879263849	-0.111583881755185	3.20355967353626
"May_24_rep1"	-0.360902339394763	-0.489646315386975	1.68282359240576	-0.33221627164416	-0.61089103707735	-0.121802932515154	-0.0900017122801748
"May_24_rep2"	-0.356675052432897	-0.489429350550366	1.57398879830233	-0.338559571780136	-0.595560194890851	-0.132021983275122	-0.0946420012248589
"May_27_rep1"	-0.352447765471031	-0.489212385713758	0.880495123900579	-0.344902871916112	-0.580229352704352	-0.14224103403509	-0.0992822901695432
"May_27_rep2"	-0.348220478509202	-0.48899542087715	1.19440386371	-0.351246172052087	-0.564898510517853	-0.152460084795059	-0.103922579114228
"May_29_rep1"	1.29308185269126	-0.4852176291176	-0.626060032315625	-0.353599245341001	-0.544081367624991	-0.157220877818431	-0.096527998440854
"May_29_rep2"	1.29730913965312	-0.485000664280992	-1.25484360078614	-0.359942545476977	-0.528750525438492	-0.1674399285784	-0.101168287385538
"Jun_01_rep1"	-0.335538617623641	0.193118183835458	-0.303675754654234	-0.370276072460015	-0.518905983958356	-0.183117237074964	-0.11784344594828
"Jun_01_rep2"	-0.331311330661775	-0.488127561530718	-1.21174366616801	-0.376619372595991	-0.503575141771857	-0.193336287834932	-0.122483734892965
"Jun_05_rep1"	-0.32708404369991	-0.487910596694109	0.0608278667836555	-0.382962672731967	-0.488244299585358	-0.2035553385949	-0.127124023837649
"Jun_05_rep2"	-0.322856756738081	-0.487693631857501	0.192783130270996	-0.389305972867943	-0.472913457398859	-0.213774389354869	-0.131764312782334
"Jun_07_rep1"	-0.318629469776215	1.37590707016439	0.808234905576629	-0.395649273003919	-0.45758261521236	-0.223993440114837	-0.136404601727018
"Jun_07_rep2"	-0.314402182814349	-0.487259702184285	0.738519347470154	-0.401992573139895	-0.442251773025861	-0.234212490874805	-0.141044890671702
"Jun_09_rep1"	-0.31017489585252	1.41645005399052	0.646082954394768	-0.40833587327587	-0.426920930839362	-0.244431541634773	-0.145685179616386
"Jun_09_rep2"	-0.305947608890654	0.818551384052261	-1.07222014168283	-0.414679173411846	-0.411590088652863	-0.254650592394742	-0.150325468561071
"Jun_11_rep1"	-0.301720321928788	2.99461629931217	0.692590795889831	-0.421022473547822	-0.396259246466364	-0.26486964315471	-0.154965757505755
"Jun_11_rep2"	-0.297493034966922	2.93935741743838	0.796034814786399	-0.427365773683798	-0.380928404279865	-0.275088693914678	-0.159606046450439
"Jun_15_rep1"	-0.293265748005093	2.09387311781373	0.642275903418763	-0.433709073819774	-0.365597562093366	-0.285307744674647	-0.164246335395124
"Jun_19_rep1"	-0.289038461043227	2.02559018551469	0.608373982992151	-0.44005237395575	-0.350266719906867	-0.295526795434615	2.1343185143371
"Jun_19_rep2"	-0.284811174081362	1.10505986467393	0.631627903739682	-0.446395674091726	-0.334935877720368	-0.305745846194583	-0.173526913284492
"Jun_22_rep1"	-0.280583887119533	0.93343217677295	1.11902817196623	-0.452738974227702	-0.319605035533869	1.85909966171661	-0.178167202229177
"Jun_22_rep2"	-0.276356600157667	2.98399061495694	0.448576258493839	-0.459082274363678	-0.30427419334737	-0.32618394771452	-0.182807491173861
"Jun_26_rep1"	-3.06333000725582	2.18914906933359	-0.239577616515115	-0.472228881400076	-0.298297452790673	-0.345709287050789	-0.207967142715309
"Jun_26_rep2"	-0.267902026233972	1.78622634026945	-0.210737624724597	-0.471768874635629	-0.273612508974372	-0.346622049234457	-0.192088069063229
"Jun_29_rep1"	-0.263674739272106	2.13667865720941	-0.839680934207513	-0.478112174771605	-0.258281666787873	-0.356841099994425	-0.196728358007914
"Jun_29_rep2"	-3.05064814637026	2.41708035531076	0.110730719772478	-0.491258781808004	-0.252304926231176	-0.376366439330694	-0.221888009549362
"Jul_03_rep1"	-0.255220165348411	2.49503116381779	-0.793173092712451	2.62743223128576	-0.227619982414875	-0.377279201514362	-0.206008935897283
"Jul_03_rep2"	-0.250992878386545	2.05134589144836	-0.76991917196492	2.57869357193078	-0.212289140228376	-0.38749825227433	-0.210649224841967
"Jul_05_rep2"	-0.246765591424679	0.676650748643547	-0.746665251217388	2.29714500588899	-0.196958298041876	-0.397717303034298	-0.215289513786651
"Jul_09_rep1"	-3.03373899852287	1.87100729150416	-0.729221786180889	2.56197865410061	-0.19098155748518	-0.417242642370567	-0.240449165328099
