"cluster"	"neighbor"	"dist"	"otu_id"	"Taxonomy"	"Level1"	"Level2"	"Level3"	"Level4"	"Level5"	"Level6"	"Level7"
"1"	1	5	0.886777761587559	"1"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Aggregata_group;Aggregata_group_X;Aggregata;Aggregata_octopiana;"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Aggregata_group"	"Aggregata_group_X"	"Aggregata"
"2"	1	5	0.886777761587559	"2"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Apicomplexa_XX;Apicomplexa_XXX;Rhytidocystis;Rhytidocystis_cyamus;"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Apicomplexa_XX"	"Apicomplexa_XXX"	"Rhytidocystis"
"3"	1	5	0.886777761587559	"3"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Coccidia;Sarcocystidae;__;__;__"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Coccidia"	"Sarcocystidae"	"__"
"4"	1	5	0.886777761587559	"4"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Coccidia;__;__;__;__"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Coccidia"	"__"	"__"
"5"	1	5	0.886777761587559	"5"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Colpodellidae;Colpodellidae_X;Colpodella;Colpodella_edax;"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Colpodellidae"	"Colpodellidae_X"	"Colpodella"
"6"	1	5	0.886777761587559	"7"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Colpodellidae;Colpodellidae_X;__;__;__"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Colpodellidae"	"Colpodellidae_X"	"__"
"7"	1	5	0.886777761587559	"8"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Gregarines;Gregarines_X;Gregarines_XX;Gregarines_XX_sp.;"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Gregarines"	"Gregarines_X"	"Gregarines_XX"
"8"	1	5	0.886777761587559	"11"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Gregarines;Gregarines_X;Paraschneideria;Paraschneideria_metamorphosa;"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Gregarines"	"Gregarines_X"	"Paraschneideria"
"9"	1	5	0.886777761587559	"14"	"Eukaryota;Alveolata;Ciliophora;Armophorea;Armophorea_X;Armophorea_XX;__;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Armophorea"	"Armophorea_X"	"Armophorea_XX"	"__"
"10"	1	5	0.886777761587559	"15"	"Eukaryota;Alveolata;Ciliophora;Armophorea;Armophorea_X;Metopidae;Metopus_1;Metopus_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Armophorea"	"Armophorea_X"	"Metopidae"	"Metopus_1"
"11"	1	5	0.886777761587559	"22"	"Eukaryota;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;__;__;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"CONThreeP"	"CONThreeP_X"	"__"	"__"
"12"	1	5	0.886777761587559	"23"	"Eukaryota;Alveolata;Ciliophora;Cariacotrichea;Cariacotrichea_X;Cariacotrichea_XX;Cariacotrichea_XXX;Cariacotrichea_XXX_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Cariacotrichea"	"Cariacotrichea_X"	"Cariacotrichea_XX"	"Cariacotrichea_XXX"
"13"	1	5	0.886777761587559	"24"	"Eukaryota;Alveolata;Ciliophora;Cyclotrichium_like_organism;Cyclotrichium_like_organism_X;Cyclotrichium_like_organism_XX;Cyclotrichium;Cyclotrichium_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Cyclotrichium_like_organism"	"Cyclotrichium_like_organism_X"	"Cyclotrichium_like_organism_XX"	"Cyclotrichium"
"14"	1	5	0.886777761587559	"25"	"Eukaryota;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Peritromidae;Peritromus;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Heterotrichea"	"Heterotrichea_X"	"Peritromidae"	"Peritromus"
"15"	1	5	0.886777761587559	"26"	"Eukaryota;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Spirostomidae;Anigsteinia;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Heterotrichea"	"Heterotrichea_X"	"Spirostomidae"	"Anigsteinia"
"16"	1	5	0.886777761587559	"30"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Oligohymenophorea_XX;Cyclidium_1;Cyclidium_porcatum;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Oligohymenophorea_X"	"Oligohymenophorea_XX"	"Cyclidium_1"
"17"	1	5	0.886777761587559	"31"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Oligohymenophorea_XX;Oligohymenophorea_XXX;Oligohymenophorea_XXX_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Oligohymenophorea_X"	"Oligohymenophorea_XX"	"Oligohymenophorea_XXX"
"18"	1	5	0.886777761587559	"32"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Oligohymenophorea_XX;Paratetrahymena;Paratetrahymena_wassi;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Oligohymenophorea_X"	"Oligohymenophorea_XX"	"Paratetrahymena"
"19"	1	5	0.886777761587559	"36"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Pseudovorticella;Pseudovorticella_paracratera;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Peritrichia_2"	"Sessilida"	"Pseudovorticella"
"20"	1	5	0.886777761587559	"38"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Sessilida_X;Sessilida_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Peritrichia_2"	"Sessilida"	"Sessilida_X"
"21"	1	5	0.886777761587559	"41"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Zoothamnopsis;Zoothamnopsis_sinica;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Peritrichia_2"	"Sessilida"	"Zoothamnopsis"
"22"	1	5	0.886777761587559	"43"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Vaginicolidae;Vaginicolidae_X;Vaginicolidae_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Peritrichia_2"	"Vaginicolidae"	"Vaginicolidae_X"
"23"	1	5	0.886777761587559	"44"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_1;OLIGO9;OLIGO9_X;OLIGO9_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Scuticociliatia_1"	"OLIGO9"	"OLIGO9_X"
"24"	1	5	0.886777761587559	"45"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_1;Philasterida;Mesanophrys;Mesanophrys_carcini;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Scuticociliatia_1"	"Philasterida"	"Mesanophrys"
"25"	1	5	0.886777761587559	"47"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_1;Philasterida;Porpostoma;Porpostoma_notata;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Scuticociliatia_1"	"Philasterida"	"Porpostoma"
"26"	1	5	0.886777761587559	"48"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_1;Philasterida;Uronemella;Uronemella_filificum;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Scuticociliatia_1"	"Philasterida"	"Uronemella"
"27"	1	5	0.886777761587559	"52"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_2;Pleuronematida;Pleuronematida_X;Pleuronematida_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Scuticociliatia_2"	"Pleuronematida"	"Pleuronematida_X"
"28"	1	5	0.886777761587559	"53"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_2;Pleuronematidae_2;Pleuronema_2;Pleuronema_2_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Scuticociliatia_2"	"Pleuronematidae_2"	"Pleuronema_2"
"29"	1	5	0.886777761587559	"55"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_2;Scuticociliatia_2_X;Cristigera;Cristigera_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Scuticociliatia_2"	"Scuticociliatia_2_X"	"Cristigera"
"30"	1	5	0.886777761587559	"61"	"Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_5;Chlamydodontidae;Chlamydodon;Chlamydodon_mnemosyne;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Phyllopharyngea"	"Cyrtophoria_5"	"Chlamydodontidae"	"Chlamydodon"
"31"	1	5	0.886777761587559	"63"	"Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_7;Hartmannulidae;Hartmannulidae_X;Hartmannulidae_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Phyllopharyngea"	"Cyrtophoria_7"	"Hartmannulidae"	"Hartmannulidae_X"
"32"	1	5	0.886777761587559	"64"	"Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_8;Dysteriidae;Dysteria_1;Dysteria_1_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Phyllopharyngea"	"Cyrtophoria_8"	"Dysteriidae"	"Dysteria_1"
"33"	1	5	0.886777761587559	"66"	"Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_8;Dysteriidae;Microdysteria;Microdysteria_decora;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Phyllopharyngea"	"Cyrtophoria_8"	"Dysteriidae"	"Microdysteria"
"34"	1	5	0.886777761587559	"67"	"Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_8;Dysteriidae;Microxysma;Microxysma_acutum;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Phyllopharyngea"	"Cyrtophoria_8"	"Dysteriidae"	"Microxysma"
"35"	1	5	0.886777761587559	"70"	"Eukaryota;Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X;Plagiopylida;Parasonderia;Parasonderia_vestita;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Plagiopylea"	"Plagiopylea_X"	"Plagiopylida"	"Parasonderia"
"36"	1	5	0.886777761587559	"71"	"Eukaryota;Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X;Plagiopylida;__;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Plagiopylea"	"Plagiopylea_X"	"Plagiopylida"	"__"
"37"	1	5	0.886777761587559	"78"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Choreotrichida"	"Leegaardiellidae_B"	"Leegaardiella"
"38"	1	5	0.886777761587559	"84"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae_I;__;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Choreotrichida"	"Strobilidiidae_I"	"__"
"39"	1	5	0.886777761587559	"86"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis_batos;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Choreotrichida"	"Strombidinopsidae"	"Strombidinopsis"
"40"	1	5	0.886777761587559	"87"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;__;__;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Choreotrichida"	"__"	"__"
"41"	1	5	0.886777761587559	"89"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Euplotia;Aspidiscidae;Aspidisca;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Euplotia"	"Aspidiscidae"	"Aspidisca"
"42"	1	5	0.886777761587559	"90"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Euplotia;Uronychiidae;Diophrys;Diophrys_scutum;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Euplotia"	"Uronychiidae"	"Diophrys"
"43"	1	5	0.886777761587559	"94"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;__;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Hypotrichia"	"Oxytrichidae"	"__"
"44"	1	5	0.886777761587559	"95"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Parabirojimidae;Parabirojimia;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Hypotrichia"	"Parabirojimidae"	"Parabirojimia"
"45"	1	5	0.886777761587559	"96"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Pseudokeronopsidae;Pseudokeronopsis;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Hypotrichia"	"Pseudokeronopsidae"	"Pseudokeronopsis"
"46"	1	5	0.886777761587559	"97"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;__;__;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Hypotrichia"	"__"	"__"
"47"	1	5	0.886777761587559	"104"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_H;Strombidiidae_H_X;Strombidiidae_H_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_H"	"Strombidiidae_H_X"
"48"	1	5	0.886777761587559	"105"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_I;Strombidiidae_I_X;Strombidiidae_I_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_I"	"Strombidiidae_I_X"
"49"	1	5	0.886777761587559	"106"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_K;Strombidiidae_K_X;Strombidiidae_K_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_K"	"Strombidiidae_K_X"
"50"	1	5	0.886777761587559	"111"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_M;Strombidium_M;Strombidium_caudispina;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_M"	"Strombidium_M"
"51"	1	5	0.886777761587559	"114"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_Q;Strombidiidae_Q_X;Strombidiidae_Q_X_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_Q"	"Strombidiidae_Q_X"
"52"	1	5	0.886777761587559	"116"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_R;Strombidium_R;Strombidium_biarmatum;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_R"	"Strombidium_R"
"53"	1	5	0.886777761587559	"122"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;Eutintinnidae;Eutintinnus;Eutintinnus_pectinis;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Tintinnida"	"Eutintinnidae"	"Eutintinnus"
"54"	1	5	0.886777761587559	"123"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;Eutintinnidae;Eutintinnus;Eutintinnus_sp.;"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Tintinnida"	"Eutintinnidae"	"Eutintinnus"
"55"	1	5	0.886777761587559	"124"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;Favellidae;Favella;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Tintinnida"	"Favellidae"	"Favella"
"56"	1	5	0.886777761587559	"126"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;TIN_01;Tintinnopsis_01;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Tintinnida"	"TIN_01"	"Tintinnopsis_01"
"57"	1	5	0.886777761587559	"136"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophysiales;Dinophysiaceae;__;__;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophysiales"	"Dinophysiaceae"	"__"
"58"	1	5	0.886777761587559	"137"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Ceratiaceae;Tripos;Tripos_furca;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Ceratiaceae"	"Tripos"
"59"	1	5	0.886777761587559	"138"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Ceratiaceae;Tripos;__;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Ceratiaceae"	"Tripos"
"60"	1	5	0.886777761587559	"139"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Goniodomataceae;Alexandrium;Alexandrium_andersonii;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Goniodomataceae"	"Alexandrium"
"61"	1	5	0.886777761587559	"140"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Goniodomataceae;Alexandrium;Alexandrium_cohorticula;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Goniodomataceae"	"Alexandrium"
"62"	1	5	0.886777761587559	"144"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Goniodomataceae;Alexandrium;Alexandrium_satoanum;"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gonyaulacales"	"Goniodomataceae"	"Alexandrium"
