index	depth	season	month
031918-C1D2-plate1-wellA3	3 meters	spring	March
031918-C1D3-plate1-wellA5	4 meters	spring	March
031918-C2D1-plate1-wellA2	2 meters	spring	March
031918-C2D2-plate1-wellA4	3 meters	spring	March
031918-C2D3-plate1-wellA6	4 meters	spring	March
032918-C1D1-plate1-wellA7	2 meters	spring	March
032918-C1D2-plate1-wellA9	3 meters	spring	March
032918-C1D3-plate1-wellA11	4 meters	spring	March
032918-C2D1-plate1-wellA8	2 meters	spring	March
032918-C2D2-plate1-wellA10	3 meters	spring	March
032918-C2D3-plate1-wellA12	4 meters	spring	March
040818-C1D2-plate1-wellB3	3 meters	spring	April
040818-C1D3-plate1-wellB5	4 meters	spring	April
040818-C2D1-plate1-wellB2	2 meters	spring	April
040818-C2D2-plate1-wellB4	3 meters	spring	April
040818-C2D3-plate1-wellB6	4 meters	spring	April
041118-C1D1-plate1-wellB7	2 meters	spring	April
041118-C1D2-plate1-wellB9	3 meters	spring	April
041118-C1D3-plate1-wellB11	4 meters	spring	April
041118-C2D1-plate1-wellB8	2 meters	spring	April
041118-C2D2-plate1-wellB10	3 meters	spring	April
041118-C2D3-plate1-wellB12	4 meters	spring	April
041318-C1D1-plate1-wellC1	2 meters	spring	April
041318-C1D2-plate1-wellC3	3 meters	spring	April
041318-C1D3-plate1-wellC5	4 meters	spring	April
041318-C2D1-plate1-wellC2	2 meters	spring	April
041318-C2D2-plate1-wellC4	3 meters	spring	April
041318-C2D3-plate1-wellC6	4 meters	spring	April
041918-C1D1-plate1-wellC7	2 meters	spring	April
041918-C1D2-plate1-wellC9	3 meters	spring	April
041918-C1D3-plate1-wellC11	4 meters	spring	April
041918-C2D1-plate1-wellC8	2 meters	spring	April
041918-C2D2-plate1-wellC10	3 meters	spring	April
041918-C2D3-plate1-wellC12	4 meters	spring	April
042418-C1D1-plate1-wellD1	2 meters	spring	April
042418-C1D2-plate1-wellD3	3 meters	spring	April
042418-C1D3-plate1-wellD5	4 meters	spring	April
042418-C2D1-plate1-wellD2	2 meters	spring	April
042418-C2D2-plate1-wellD4	3 meters	spring	April
042418-C2D3-plate1-wellD6	4 meters	spring	April
042718-C1D1-plate1-wellD7	2 meters	spring	April
042718-C1D2-plate1-wellD9	3 meters	spring	April
042718-C1D3-plate1-wellD11	4 meters	spring	April
042718-C2D1-plate1-wellD8	2 meters	spring	April
042718-C2D2-plate1-wellD10	3 meters	spring	April
042718-C2D3-plate1-wellD12	4 meters	spring	April
042918-C1D1-plate1-wellE1	2 meters	spring	April
042918-C1D2-plate1-wellE3	3 meters	spring	April
042918-C1D3-plate1-wellE5	4 meters	spring	April
042918-C2D1-plate1-wellE2	2 meters	spring	April
042918-C2D2-plate1-wellE4	3 meters	spring	April
042918-C2D3-plate1-wellE6	4 meters	spring	April
050218-C1D1-plate1-wellE7	2 meters	spring	May
050218-C1D2-plate1-wellE9	3 meters	spring	May
050218-C2D1-plate1-wellE8	2 meters	spring	May
050218-C2D2-plate1-wellE10	3 meters	spring	May
050418-C1D1-plate1-wellE11	2 meters	spring	May
050418-C1D2-plate1-wellF1	3 meters	spring	May
050418-C1D3-plate1-wellF3	4 meters	spring	May
050418-C2D1-plate1-wellE12	2 meters	spring	May
050418-C2D2-plate1-wellF2	3 meters	spring	May
050418-C2D3-plate1-wellF4	4 meters	spring	May
050718-C1D1-plate1-wellF5	2 meters	spring	May
050718-C1D2-plate1-wellF7	3 meters	spring	May
050718-C1D3-plate1-wellF9	4 meters	spring	May
050718-C2D1-plate1-wellF6	2 meters	spring	May
050718-C2D2-plate1-wellF8	3 meters	spring	May
050718-C2D3-plate1-wellF10	4 meters	spring	May
050918-C1D1-plate1-wellF11	2 meters	spring	May
050918-C1D2-plate1-wellG1	3 meters	spring	May
050918-C1D3-plate1-wellG3	4 meters	spring	May
050918-C2D1-plate1-wellF12	2 meters	spring	May
050918-C2D2-plate1-wellG2	3 meters	spring	May
051118-C1D1-plate1-wellG5	2 meters	spring	May
051118-C1D2-plate1-wellG7	3 meters	spring	May
051118-C1D3-plate1-wellG9	4 meters	spring	May
051118-C2D1-plate1-wellG6	2 meters	spring	May
051118-C2D2-plate1-wellG8	3 meters	spring	May
051118-C2D3-plate1-wellG10	4 meters	spring	May
051518-C1D1-plate1-wellG11	2 meters	spring	May
051518-C1D2-plate1-wellH1	3 meters	spring	May
051518-C1D3-plate1-wellH3	4 meters	spring	May
051518-C2D1-plate1-wellG12	2 meters	spring	May
051518-C2D2-plate1-wellH2	3 meters	spring	May
051518-C2D3-plate1-wellH4	4 meters	spring	May
051918-C1D1-plate1-wellH5	2 meters	spring	May
051918-C1D2-plate1-wellH7	3 meters	spring	May
051918-C1D3-plate1-wellH9	4 meters	spring	May
051918-C2D1-plate1-wellH6	2 meters	spring	May
051918-C2D2-plate1-wellH8	3 meters	spring	May
