Date	Depth	Avg. Percent Inf.
3/19/18	1	0.02%
3/29/18	1	0.05%
4/8/18	1	0.33%
4/11/18	1	0.09%
4/13/18	1	0.07%
4/19/18	1	0.04%
4/22/18	1	0.01%
4/24/18	1	0.04%
5/15/18	1	0.00%
5/19/18	1	0.01%
5/22/18	1	0.79%
5/24/18	1	0.41%
5/28/18	1	0.15%
5/30/18	1	0.03%
6/1/18	1	0.21%
6/5/18	1	0.32%
6/7/18	1	0.22%
6/9/18	1	0.11%
6/11/18	1	0.06%
6/15/18	1	0.05%
6/19/18	1	0.08%
6/26/18	1	0.14%
6/29/18	1	0.50%
7/3/18	1	1.62%
7/5/18	1	1.36%
7/9/18	1	0.12%
7/12/18	1	0.69%
7/16/18	1	0.62%
7/19/18	1	0.04%
7/24/18	1	0.05%
7/27/18	1	0.25%
7/30/18	1	0.35%
8/6/18	1	0.45%
8/9/18	1	1.03%
8/13/18	1	2.45%
8/16/18	1	0.16%
8/20/18	1	0.09%
8/23/18	1	0.11%
8/29/18	1	0.16%
8/31/18	1	0.06%
9/4/18	1	0.05%
9/7/18	1	0.01%
9/12/18	1	0.12%
9/14/18	1	1.92%
9/17/18	1	1.56%
9/20/18	1	0.39%
9/24/18	1	0.02%
9/28/18	1	0.05%
10/1/18	1	0.03%
3/19/18	2	0.04%
3/29/18	2	0.07%
4/8/18	2	0.40%
4/11/18	2	0.28%
4/13/18	2	0.20%
4/19/18	2	0.04%
4/22/18	2	0.26%
4/24/18	2	0.03%
5/15/18	2	0.00%
5/19/18	2	0.02%
5/22/18	2	0.57%
5/24/18	2	1.17%
5/28/18	2	0.56%
5/30/18	2	0.10%
6/1/18	2	0.25%
6/5/18	2	0.97%
6/7/18	2	0.70%
6/9/18	2	0.26%
6/11/18	2	0.64%
6/15/18	2	0.08%
6/19/18	2	0.09%
6/26/18	2	0.35%
6/29/18	2	0.54%
7/3/18	2	2.33%
7/5/18	2	1.47%
7/9/18	2	0.25%
7/12/18	2	1.01%
7/16/18	2	0.22%
7/19/18	2	0.03%
7/24/18	2	0.10%
7/27/18	2	0.10%
7/30/18	2	0.13%
8/6/18	2	0.26%
8/9/18	2	0.55%
8/13/18	2	2.56%
8/16/18	2	0.16%
8/20/18	2	0.14%
8/23/18	2	0.11%
8/29/18	2	0.23%
8/31/18	2	0.02%
9/4/18	2	0.04%
9/7/18	2	0.03%
9/12/18	2	0.27%
9/14/18	2	1.31%
9/17/18	2	1.13%
9/20/18	2	0.19%
9/24/18	2	0.03%
9/28/18	2	0.06%
3/19/18	3	0.01%
3/29/18	3	0.09%
4/8/18	3	0.23%
4/11/18	3	0.13%
4/13/18	3	0.16%
4/19/18	3	0.11%
4/22/18	3	0.09%
4/24/18	3	0.03%
5/15/18	3	0.03%
5/19/18	3	0.07%
5/22/18	3	0.60%
5/24/18	3	1.22%
5/28/18	3	0.02%
5/30/18	3	0.07%
6/1/18	3	0.18%
6/5/18	3	0.68%
6/7/18	3	0.31%
6/9/18	3	1.39%
6/11/18	3	0.33%
6/15/18	3	0.08%
6/19/18	3	0.06%
6/26/18	3	0.08%
6/29/18	3	0.85%
7/3/18	3	0.68%
7/9/18	3	0.33%
7/12/18	3	0.33%
7/16/18	3	0.24%
7/19/18	3	0.01%
7/24/18	3	0.05%
7/27/18	3	0.23%
7/30/18	3	0.05%
8/6/18	3	0.22%
8/9/18	3	0.18%
8/13/18	3	1.16%
8/16/18	3	0.21%
8/20/18	3	0.05%
8/23/18	3	0.05%
8/29/18	3	0.21%
8/31/18	3	0.02%
9/4/18	3	0.09%
9/7/18	3	0.02%
9/12/18	3	0.26%
9/14/18	3	0.90%
9/17/18	3	1.03%
9/20/18	3	0.11%
9/24/18	3	0.02%
9/28/18	3	0.01%
