OTU_ID	Mar_19_rep1	Mar_19_rep2	Mar_29_rep1	Mar_29_rep2	Apr_08_rep1	Apr_08_rep2	Apr_11_rep1	Apr_11_rep2	Apr_13_rep1	Apr_13_rep2	Apr_19_rep1	Apr_19_rep2	Apr_24_rep1	Apr_24_rep2	Apr_27_rep1	Apr_27_rep2	Apr_29_rep1	Apr_29_rep2	May_02_rep1	May_02_rep2	May_04_rep1	May_04_rep2	May_07_rep1	May_07_rep2	May_09_rep1	May_09_rep2	May_11_rep1	May_11_rep2	May_15_rep1	May_15_rep2	May_19_rep1	May_19_rep2	May_21_rep1	May_21_rep2	May_24_rep1	May_24_rep2	May_27_rep1	May_27_rep2	May_29_rep1	May_29_rep2	Jun_01_rep1	Jun_01_rep2	Jun_05_rep1	Jun_05_rep2	Jun_07_rep1	Jun_07_rep2	Jun_09_rep1	Jun_09_rep2	Jun_11_rep1	Jun_11_rep2	Jun_15_rep1	Jun_19_rep1	Jun_19_rep2	Jun_22_rep1	Jun_22_rep2	Jun_26_rep1	Jun_26_rep2	Jun_29_rep1	Jun_29_rep2	Jul_03_rep1	Jul_03_rep2	Jul_05_rep1	Jul_05_rep2	Jul_09_rep1	Jul_12_rep1	Jul_12_rep2	Jul_16_rep1	Jul_16_rep2	Jul_19_rep1	Jul_24_rep1	Jul_24_rep2	Jul_27_rep1	Jul_27_rep2	Jul_30_rep1	Jul_30_rep2	Aug_06_rep1	Aug_06_rep2	Aug_09_rep1	Aug_09_rep2	Aug_13_rep1	Aug_13_rep2	Aug_16_rep1	Aug_16_rep2	Aug_20_rep1	Aug_20_rep2	Aug_23_rep1	Aug_23_rep2	Aug_29_rep1	Aug_29_rep2	Aug_31_rep1	Aug_31_rep2	Sep_04_rep1	Sep_04_rep2	Sep_07_rep1	Sep_07_rep2	Sep_12_rep1	Sep_12_rep2	Sep_14_rep1	Sep_14_rep2	Sep_17_rep1	Sep_17_rep2	Sep_20_rep1	Sep_20_rep2	Sep_24_rep1	Sep_24_rep2	Sep_28_rep1	Sep_28_rep2	Oct_01_rep1	Oct_01_rep2	Oct_03_rep1	Oct_03_rep2	Oct_08_rep1	Oct_08_rep2	Oct_10_rep1	Oct_10_rep2	level_0																																																																																																																																																																																																																																
594	0	0	19	3	0	11	29	7	0	11	0	8	12	9	0	6	13	0	15	19	14	18	42	25	18	40	64	22	57	66	905	787	1828	1910	5935	7601	27344	23353	32867	30743	25781	24416	13907	9384	1624	2071	7729	5716	11207	12192	14782	6498	6621	4937	3879	2856	1385	1576	4333	523	346	499	3413	4538	9466	10537	17018	141	89	56	57	17	0	0	5	179	71	12	77	60	56	128	65	260	81	185	292	471	413	420	201	562	1454	2402	3981	3916	2955	691	997	284	231	148	90	948	268	66	163	109	87	19	86	22	23	10	11	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Cyclotella																																																																																																																																																																																																																																
460	0	8494	19203	9272	174	3482	10996	14632	8227	11501	19549	10109	1251	257	15991	5256	11	0	6	0	5	5685	0	0	0	3	0	7374	19880	6083	5555	11	0	0	0	0	0	0	0	78	154	333	0	0	0	2017	25877	20030	13	41	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Eurytemora																																																																																																																																																																																																																																
145	0	0	197	404	34	188	345	160	61	233	35	54	28	70	28	44	33	33	65	32	53	16	60	65	59	27	120	23	30	18	22	69	552	18	0	8	0	11	0	0	0	0	0	3	0	0	16	15	9	12	0	0	0	28	12	28	10	0	32	35	48	49	954	436	1174	813	125595	6154	3413	4508	6417	10298	10357	4959	11492	446	4823	3123	2161	1499	982	2373	2567	2654	3825	766	1914	43	15	0	16	0	0	0	4	0	0	0	0	79	37	0	0	13	0	9	0	0	9	71	15	0	0	0	0	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Goniodomataceae;Alexandrium																																																																																																																																																																																																																																
137	0	17	110	501	131	1408	600	216	168	818	0	0	27	0	21	111	182	97	93	61	11	0	66	28	137	171	3945	1713	1536	2218	5714	3728	8154	7008	7788	8640	3413	3512	2893	1861	3829	3603	6223	3757	4266	7310	4428	2759	2675	3368	1267	686	1000	1042	1807	1306	1747	1213	3206	1636	1040	2490	5639	5599	4428	3093	30416	310	180	377	523	379	229	417	851	4682	1131	472	1165	606	391	603	408	684	418	273	1069	1200	846	256	121	234	495	426	610	680	777	323	328	663	247	71	46	274	63	108	82	72	86	19	91	37	36	45	125	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;__;__;__																																																																																																																																																																																																																																
258	38	1020	770	741	38	595	2334	1489	684	754	4003	5241	380	868	1267	1835	1289	971	5523	6455	3170	2365	3084	2006	1033	1698	5256	1963	1963	3283	2123	1828	3845	2868	4491	4563	280	316	0	13	9	7	0	0	0	0	0	7	0	8	0	0	24	41	0	0	0	0	0	0	0	0	0	0	10	0	245	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	34	16	0	0	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus																																																																																																																																																																																																																																
359	0	9	8	0	0	107	108	61	0	57	63	76	85	166	108	140	257	192	1118	1459	749	433	2056	1556	1294	2153	1785	766	233	366	918	687	564	401	638	805	663	748	844	785	2285	2634	979	578	1167	1382	1222	756	1216	1359	1239	2172	2308	729	399	800	531	319	979	1339	848	1288	1040	1294	1599	2044	2128	152	103	189	317	250	161	309	869	268	120	160	147	94	87	92	58	169	94	61	626	234	125	205	110	0	0	13	0	299	244	722	959	2	0	0	0	71	13	88	93	717	736	1250	1046	187	113	50	82	Eukaryota;Hacrobia;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picozoa_XXXX																																																																																																																																																																																																																																
487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8218	0	0	0	10	4950	58	37	12736	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	178	0	985	0	0	0	0	0	121	0	0	7713	225	0	9	3	12519	11	0	5991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Metazoa;Mollusca;Gastropoda;Heterobranchia;__																																																																																																																																																																																																																																
574	0	0	11	0	4	109	172	411	183	178	45	24	19	34	26	30	105	110	357	425	228	134	2307	1777	1574	2681	63	16	29	25	54	45	43	13	26	44	173	170	159	130	55	68	64	49	768	1011	1061	489	757	760	1805	4917	4263	1473	10828	4075	3201	183	489	353	326	441	28	17	15	27	655	32	0	4	37	173	125	28	104	85	127	73	52	81	46	36	10	154	95	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	644	634	102	125	65	21	7	0	0	0	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Filosa-Thecofilosea_X;Mataza-lineage;Mataza																																																																																																																																																																																																																																
500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Polycladida;Notoplana																																																																																																																																																																																																																																
459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1125	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17	0	2600	0	0	2983	0	4445	502	9519	202	7267	12516	9773	0	3	362	0	0	0	0	0	0	96	0	0	621	0	20	0	0	0	0	0	0	0	0	0	2	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Cyclopina																																																																																																																																																																																																																																
