Depth	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7
0	14.6	6.1	15.9	15.4	16.7	17	14.4
0.3048	14.6	13.9	16	16.5	16.7	17.6	17.2
0.6096	14.6	14.1	16	16.5	16.7	17.7	17.3
0.9144	14.6	14.1	16.1	16.5	16.7	17.7	17.4
1.2192	14.6	14.2	16.1	16.6	16.7	17.8	17.4
1.524	14.6	14.3	16.1	16.6	16.7	17.8	17.4
1.8288	14.6	15.2	21.6	19.2	16.7	17.8	17.4
2.1336	14.6	19.7	22.8	22.5	21.3	17.8	22
2.4384	22.7	22.4	23.8	23.8	23.1	23.3	23.5
2.7432	24	23.7	24.7	24.5	24.5	24.9	23.5
3.048	24.9	24.8	25.2	25.2	25.4	25.5	24.6
3.3528	25.3	25.4	25.4	25.5	25.8	25.9	25.3
3.6576	25.7	25.7	25.8	26	26.1	26.2	25.7
3.9624	26.1	26.2	25.9	26.5	26.3	26.2	25.8
4.2672	26.5	26.5	26.3	26.8	26.6	26.6	26.2
4.572	27	27.2	26.8	27.3	27.1	27	26.6
4.8768	27.6	27.8	27.9	27.9	27.8	27.7	27.2
5.1816	27.8	28.3	28.2	28.3			
