	cast	year	month	day	depth	do	season
1	1	2018	3	19	0	20	spring
2	1	2018	3	19	0.3	18.5	spring
3	1	2018	3	19	0.61	18	spring
4	1	2018	3	19	0.91	17.5	spring
5	1	2018	3	19	1.22	16.8	spring
6	1	2018	3	19	1.52	16.6	spring
7	1	2018	3	19	1.83	16.6	spring
8	1	2018	3	19	2.13	16.4	spring
9	1	2018	3	19	2.44	16.5	spring
10	1	2018	3	19	2.74	15.9	spring
11	1	2018	3	19	3.05	15	spring
12	1	2018	3	19	3.35	14.2	spring
13	1	2018	3	19	3.66	13.6	spring
14	1	2018	3	19	3.96	16.2	spring
15	1	2018	3	19	4.27	11.6	spring
16	1	2018	3	19	4.57	5.8	spring
17	1	2018	3	19	4.88	4.5	spring
18	2	2018	3	29	0	14.8	spring
19	2	2018	3	29	0.3	14.5	spring
20	2	2018	3	29	0.61	14.4	spring
21	2	2018	3	29	0.91	14.1	spring
22	2	2018	3	29	1.22	13.8	spring
23	2	2018	3	29	1.52	13.7	spring
24	2	2018	3	29	1.83	13.9	spring
25	2	2018	3	29	2.13	14.8	spring
26	2	2018	3	29	2.44	15.4	spring
27	2	2018	3	29	2.74	15.5	spring
28	2	2018	3	29	3.05	16.1	spring
29	2	2018	3	29	3.35	16.6	spring
30	2	2018	3	29	3.66	17	spring
31	2	2018	3	29	3.96	15.6	spring
32	2	2018	3	29	4.27	14.7	spring
33	2	2018	3	29	4.57	14.1	spring
34	2	2018	3	29	4.88	1.5	spring
35	3	2018	4	4	0	15.3	spring
36	3	2018	4	4	0.3	14.6	spring
37	3	2018	4	4	0.61	14.3	spring
38	3	2018	4	4	0.91	14.2	spring
39	3	2018	4	4	1.22	14	spring
40	3	2018	4	4	1.52	13.8	spring
41	3	2018	4	4	1.83	13.7	spring
42	3	2018	4	4	2.13	13.7	spring
43	3	2018	4	4	2.44	16.7	spring
44	3	2018	4	4	2.74	16.9	spring
45	3	2018	4	4	3.05	17.1	spring
46	3	2018	4	4	3.35	17.3	spring
47	3	2018	4	4	3.66	17.1	spring
48	3	2018	4	4	3.96	17.9	spring
49	3	2018	4	4	4.27	18.8	spring
50	3	2018	4	4	4.57	18.1	spring
51	3	2018	4	4	4.88	15.9	spring
52	3	2018	4	4	5.18	15.1	spring
53	4	2018	4	11	0	18.3	spring
54	4	2018	4	11	0.3	17	spring
55	4	2018	4	11	0.61	16.3	spring
56	4	2018	4	11	0.91	15.7	spring
57	4	2018	4	11	1.22	15.4	spring
58	4	2018	4	11	1.52	15.1	spring
59	4	2018	4	11	1.83	14.6	spring
60	4	2018	4	11	2.13	14.6	spring
61	4	2018	4	11	2.44	17.2	spring
62	4	2018	4	11	2.74	17.5	spring
63	4	2018	4	11	3.05	17.5	spring
64	4	2018	4	11	3.35	17.4	spring
65	4	2018	4	11	3.66	17.4	spring
66	4	2018	4	11	3.96	17.8	spring
67	4	2018	4	11	4.27	18.9	spring
68	4	2018	4	11	4.57	19.2	spring
69	4	2018	4	11	4.88	17.4	spring
70	4	2018	4	11	5.18	0	spring
71	5	2018	4	13	0	15.8	spring
72	5	2018	4	13	0.3	14.7	spring
73	5	2018	4	13	0.61	14.4	spring
74	5	2018	4	13	0.91	14	spring
75	5	2018	4	13	1.22	13.7	spring
76	5	2018	4	13	1.52	13.7	spring
77	5	2018	4	13	1.83	13.6	spring
78	5	2018	4	13	2.13	13.5	spring
79	5	2018	4	13	2.44	18.2	spring
80	5	2018	4	13	2.74	17.6	spring
