	cast	year	month	day	depth	sal	season
1	1	2018	3	19	0	0.4	spring
2	1	2018	3	19	0.3	0.4	spring
3	1	2018	3	19	0.61	0.4	spring
4	1	2018	3	19	0.91	2.9	spring
5	1	2018	3	19	1.22	3.4	spring
6	1	2018	3	19	1.52	3.7	spring
7	1	2018	3	19	1.83	4.2	spring
8	1	2018	3	19	2.13	5.5	spring
9	1	2018	3	19	2.44	5.1	spring
10	1	2018	3	19	2.74	17.7	spring
11	1	2018	3	19	3.05	18.6	spring
12	1	2018	3	19	3.35	19.1	spring
13	1	2018	3	19	3.66	19.6	spring
14	1	2018	3	19	3.96	20.4	spring
15	1	2018	3	19	4.27	21.4	spring
16	1	2018	3	19	4.57	22.3	spring
17	1	2018	3	19	4.88	22.9	spring
18	2	2018	3	29	0	16.2	spring
19	2	2018	3	29	0.3	16.4	spring
20	2	2018	3	29	0.61	16.6	spring
21	2	2018	3	29	0.91	16.6	spring
22	2	2018	3	29	1.22	16.6	spring
23	2	2018	3	29	1.52	16.7	spring
24	2	2018	3	29	1.83	19.9	spring
25	2	2018	3	29	2.13	23.2	spring
26	2	2018	3	29	2.44	24.2	spring
27	2	2018	3	29	2.74	24.7	spring
28	2	2018	3	29	3.05	25.1	spring
29	2	2018	3	29	3.35	25.7	spring
30	2	2018	3	29	3.66	26.3	spring
31	2	2018	3	29	3.96	26.6	spring
32	2	2018	3	29	4.27	27.1	spring
33	2	2018	3	29	4.57	27.1	spring
34	2	2018	3	29	4.88	27.3	spring
35	3	2018	4	4	0	16.4	spring
36	3	2018	4	4	0.3	16.5	spring
37	3	2018	4	4	0.61	16.5	spring
38	3	2018	4	4	0.91	16.6	spring
39	3	2018	4	4	1.22	16.6	spring
40	3	2018	4	4	1.52	16.6	spring
41	3	2018	4	4	1.83	16.6	spring
42	3	2018	4	4	2.13	16.6	spring
43	3	2018	4	4	2.44	21	spring
44	3	2018	4	4	2.74	24.1	spring
45	3	2018	4	4	3.05	25.2	spring
46	3	2018	4	4	3.35	25.8	spring
47	3	2018	4	4	3.66	25.9	spring
48	3	2018	4	4	3.96	26.2	spring
49	3	2018	4	4	4.27	26.7	spring
50	3	2018	4	4	4.57	27	spring
51	3	2018	4	4	4.88	27.2	spring
52	3	2018	4	4	5.18	27.3	spring
53	4	2018	4	11	0	16.4	spring
54	4	2018	4	11	0.3	16.4	spring
55	4	2018	4	11	0.61	16.4	spring
56	4	2018	4	11	0.91	16.5	spring
57	4	2018	4	11	1.22	16.4	spring
58	4	2018	4	11	1.52	16.5	spring
59	4	2018	4	11	1.83	16.5	spring
60	4	2018	4	11	2.13	16.5	spring
61	4	2018	4	11	2.44	19.9	spring
62	4	2018	4	11	2.74	23.9	spring
63	4	2018	4	11	3.05	24.9	spring
64	4	2018	4	11	3.35	25.6	spring
65	4	2018	4	11	3.66	25.9	spring
66	4	2018	4	11	3.96	26.2	spring
67	4	2018	4	11	4.27	26.6	spring
68	4	2018	4	11	4.57	27	spring
69	4	2018	4	11	4.88	27.3	spring
70	4	2018	4	11	5.18	27.4	spring
71	5	2018	4	13	0	16.1	spring
72	5	2018	4	13	0.3	16.2	spring
73	5	2018	4	13	0.61	16.3	spring
74	5	2018	4	13	0.91	16.3	spring
75	5	2018	4	13	1.22	16.3	spring
76	5	2018	4	13	1.52	16.4	spring
77	5	2018	4	13	1.83	16.4	spring
78	5	2018	4	13	2.13	16.4	spring
79	5	2018	4	13	2.44	16.3	spring
80	5	2018	4	13	2.74	24.1	spring
81	5	2018	4	13	3.05	25.1	spring
82	5	2018	4	13	3.35	25.8	spring
83	5	2018	4	13	3.66	26	spring
84	5	2018	4	13	3.96	26.2	spring
85	5	2018	4	13	4.27	26.3	spring
86	5	2018	4	13	4.57	27	spring
87	5	2018	4	13	4.88	27.3	spring
88	5	2018	4	13	5.18	27.4	spring
89	6	2018	4	19	0	16.1	spring
90	6	2018	4	19	0.3	16.2	spring
91	6	2018	4	19	0.61	16.3	spring
