cast	year	month	day	depth	temp	season
1	2018	3	19	0	3.1	spring
1	2018	3	19	0.3	3.0	spring
1	2018	3	19	0.61	3.0	spring
1	2018	3	19	0.91	2.9	spring
1	2018	3	19	1.22	2.9	spring
1	2018	3	19	1.52	2.9	spring
1	2018	3	19	1.83	2.9	spring
1	2018	3	19	2.13	2.9	spring
1	2018	3	19	2.44	3.8	spring
1	2018	3	19	2.74	6.4	spring
1	2018	3	19	3.05	7.4	spring
1	2018	3	19	3.35	8.1	spring
1	2018	3	19	3.66	8.1	spring
1	2018	3	19	3.96	8.3	spring
1	2018	3	19	4.27	8.0	spring
1	2018	3	19	4.57	7.8	spring
1	2018	3	19	4.88	7.5	spring
2	2018	3	29	0	14.8	spring
2	2018	3	29	0.3	14.5	spring
2	2018	3	29	0.61	14.4	spring
2	2018	3	29	0.91	14.1	spring
2	2018	3	29	1.22	13.8	spring
2	2018	3	29	1.52	13.7	spring
2	2018	3	29	1.83	13.9	spring
2	2018	3	29	2.13	14.8	spring
2	2018	3	29	2.44	15.4	spring
2	2018	3	29	2.74	15.5	spring
2	2018	3	29	3.05	16.1	spring
2	2018	3	29	3.35	16.6	spring
2	2018	3	29	3.66	17.0	spring
2	2018	3	29	3.96	15.6	spring
2	2018	3	29	4.27	14.7	spring
2	2018	3	29	4.57	14.1	spring
2	2018	3	29	4.88	1.5	spring
3	2018	4	4	0	6.5	spring
3	2018	4	4	0.3	6.5	spring
3	2018	4	4	0.61	6.4	spring
3	2018	4	4	0.91	6.4	spring
3	2018	4	4	1.22	6.4	spring
3	2018	4	4	1.52	6.4	spring
3	2018	4	4	1.83	6.5	spring
3	2018	4	4	2.13	7.1	spring
3	2018	4	4	2.44	7.9	spring
3	2018	4	4	2.74	10.2	spring
3	2018	4	4	3.05	11.1	spring
3	2018	4	4	3.35	11.1	spring
3	2018	4	4	3.66	11.0	spring
3	2018	4	4	3.96	10.8	spring
3	2018	4	4	4.27	10.1	spring
3	2018	4	4	4.57	9.7	spring
3	2018	4	4	4.88	9.2	spring
3	2018	4	4	5.18	9.0	spring
4	2018	4	11	0	6.5	spring
4	2018	4	11	0.3	6.5	spring
4	2018	4	11	0.61	6.5	spring
4	2018	4	11	0.91	6.5	spring
4	2018	4	11	1.22	6.6	spring
4	2018	4	11	1.52	6.7	spring
4	2018	4	11	1.83	6.8	spring
4	2018	4	11	2.13	6.9	spring
4	2018	4	11	2.44	8.0	spring
4	2018	4	11	2.74	9.9	spring
4	2018	4	11	3.05	11.0	spring
4	2018	4	11	3.35	11.4	spring
4	2018	4	11	3.66	11.4	spring
4	2018	4	11	3.96	11.3	spring
4	2018	4	11	4.27	10.6	spring
4	2018	4	11	4.57	10.3	spring
4	2018	4	11	4.88	10.0	spring
4	2018	4	11	5.18	9.9	spring
5	2018	4	13	0	9.0	spring
5	2018	4	13	0.3	8.9	spring
5	2018	4	13	0.61	8.9	spring
5	2018	4	13	0.91	8.9	spring
5	2018	4	13	1.22	8.8	spring
5	2018	4	13	1.52	8.8	spring
5	2018	4	13	1.83	8.8	spring
5	2018	4	13	2.13	8.8	spring
5	2018	4	13	2.44	9.1	spring
5	2018	4	13	2.74	10.2	spring
5	2018	4	13	3.05	11.7	spring
5	2018	4	13	3.35	11.9	spring
5	2018	4	13	3.66	12.0	spring
5	2018	4	13	3.96	11.8	spring
5	2018	4	13	4.27	11.5	spring
5	2018	4	13	4.57	10.8	spring
5	2018	4	13	4.88	10.1	spring
5	2018	4	13	5.18	10.0	spring
6	2018	4	19	0	8.8	spring
