	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp.	0	0	0	0	0	0	0	0.00427171	0	0	0	0	0	0.007111271	0.007419467	0	0.003902144	0	0	0	0.009398593	0.003068004	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Armophorea; Armophorea_X; Caenomorphidae; Caenomorpha; Caenomorpha_sp.	0	0	0	0	0.005267026	0	0	0	0	0	0	0	0	0	0	0	0.203061503	0	0	0.006361303	0.251935843	0.019882941	0.007495633	0	0.149457741	0.002294006
Eukaryota; Alveolata; Ciliophora; CONTH_3; CONTH_3_X; CONTH_3_XX; CONTH_3_XXX; CONTH_3_XXX_sp.	0	0	0.003960249	0	0.005267026	0	0	0.011301883	0	0	0	0.009453333	0.011105902	0	0	0.005985556	0.03882584	0	0.008670122	0.049274438	0.082032983	0.024924585	0.003060079	0.005740305	0.025307505	0
Eukaryota; Alveolata; Ciliophora; CONTH_8; CONTH_8_X; CONTH_8_XX; CONTH_8_XXX; CONTH_8_XXX_sp.	0.004755385	0	0	0	0	0	0	0	0.002618716	0	0	0	0	0	0.003318087	0	0.005518465	0.003229101	0.005483467	0.00899624	0	0.017081925	0.00967682	0.004059009	0.01472326	0.00648843
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; CONThreeP_XX; Askenasia; Askenasia_sp.	0.008236569	0.012336281	0	0	0.005267026	0	0.003525961	0.00427171	0	0	0.006769595	0	0	0	0.007419467	0.008464855	0	0.006458202	0.005483467	0	0.005667565	0.005313939	0.010149135	0.019466321	0.005436924	0.003973336
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; CONThreeP_XX; Paraspathidium; Paraspathidium_apofuscum	0	0	0	0	0	0	0	0.00427171	0	0	0	0	0.003511995	0	0	0	0.018302677	0	0	0	0.057589263	0.015340022	0	0	0	0
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; Urotrichidae; Urotricha; Urotricha_sp.	0	0.012336281	0	0	0	0	0	0	0	0	0	0	0	0	0.003318087	0.005985556	0.009558261	0.048544034	0	0	0.002833782	0	0.014353044	0.019885	0.015695048	0.013178064
Eukaryota; Alveolata; Ciliophora; Karyorelictea; Karyorelictea_X; Geleiidae; Geleia; Geleia_sp.	0	0	0	0	0	0	0	0.026332591	0	0	0	0.026738063	0.014480325	0	0	0.034384403	0.104923414	0.003229101	0.013708666	0.033054298	0.084918959	0.042732356	0.005300213	0.004059009	0.129956517	0.003244215
Eukaryota; Alveolata; Ciliophora; Litostomatea; Haptoria_5; Pleurostomatida; Pleurostomatida_X; Pleurostomatida_X_sp.	0	0	0.013134658	0	0	0	0	0.00427171	0	0	0	0	0	0	0	0.084224243	0.049819237	0.003229101	0	0.022936003	0	0.084467681	0	0.018600714	0.104863597	0
Eukaryota; Alveolata; Ciliophora; Litostomatea; Litostomatea_X; Litostomatea_XX; Litostomatea_XXX; Litostomatea_XXX_sp.	0	0	0.12410183	0.008295399	0.353165757	0	0.003525961	0.197932823	0.006928472	0.003372629	0.006769595	0.045663937	0.00496671	0	0	0.005985556	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; OLIGO5; OLIGO5_X; OLIGO5_XX; OLIGO5_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003902144	0	0	0.006361303	0	0	0.016760744	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; OLIGO6; OLIGO6_X; OLIGO6_XX; OLIGO6_XX_sp.	0	0	0.003960249	0	0.005267026	0	0	0.012082221	0	0	0	0	0.003511995	0	0	0	0.040926029	0.003229101	0	0.029151151	0.071801581	0.007515045	0.003060079	0	0.016904084	0.002294006
