	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	5	0	0	2
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp.	0	0	0	0	0	0	0	1	0	0	0	0	0	2	5	0	1	0	0	0	11	1	0	0	0	0
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Colpodellidae; Colpodellidae_X; Colpodella; Colpodella_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Colpodellidae; Colpodellidae_X; Colpodellidae_XX; Colpodellidae_XX_sp.	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Cephaloidophoroidea; Cephaloidophoroidea_X; Cephaloidophoroidea_X_sp.	0	3	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Gregarines_X; Gregarines_XX; Gregarines_XX_sp.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Gregarines; Gregarines_X; Selenidium; Selenidium_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Apicomplexa; Apicomplexa_X; Novel-Apicomplexa-Class-1; Novel-Apicomplexa-Class-1_X; Novel-Apicomplexa-Class-1_XX; Novel-Apicomplexa-Class-1_XX_sp.	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Armophorea; Armophorea_X; Caenomorphidae; Caenomorpha; Caenomorpha_sp.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2708	0	0	1	7904	42	6	0	2267	1
Eukaryota; Alveolata; Ciliophora; Cariacotrichea; Cariacotrichea_X; Cariacotrichea_XX; Cariacotrichea_XXX; Cariacotrichea_XXX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota; Alveolata; Ciliophora; Colpodea; Colpodea_X; Platyophryida; Platyophrya; Platyophrya_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota; Alveolata; Ciliophora; CONTH_3; CONTH_3_X; CONTH_3_XX; CONTH_3_XXX; CONTH_3_XXX_sp.	0	0	1	0	1	0	0	7	0	0	0	3	10	0	0	1	99	0	10	60	838	66	1	2	65	0
Eukaryota; Alveolata; Ciliophora; CONTH_8; CONTH_8_X; CONTH_8_XX; CONTH_8_XXX; CONTH_8_XXX_sp.	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	4	2	0	31	10	1	22	8
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; CONThreeP_XX; Askenasia; Askenasia_sp.	3	4	0	0	1	0	1	1	0	0	1	0	0	0	5	2	0	4	4	0	4	3	11	23	3	3
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; CONThreeP_XX; CONThreeP_XXX; CONThreeP_XXX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; CONThreeP_XX; Paraspathidium; Paraspathidium_apofuscum	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	22	0	0	0	413	25	0	0	0	0
Eukaryota; Alveolata; Ciliophora; CONThreeP; CONThreeP_X; Urotrichidae; Urotricha; Urotricha_sp.	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	226	0	0	1	0	22	24	25	33
Eukaryota; Alveolata; Ciliophora; Cyclotrichium_like_organism; Cyclotrichium_like_organism_X; Cyclotrichium_like_organism_XX; Cyclotrichium; Cyclotrichium_cyclokaryon	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Karyorelictea; Karyorelictea_X; Geleiidae; Geleia; Geleia_acuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Karyorelictea; Karyorelictea_X; Geleiidae; Geleia; Geleia_sp.	0	0	0	0	0	0	0	38	0	0	0	24	17	0	0	33	723	1	25	27	898	194	3	1	1714	2
Eukaryota; Alveolata; Ciliophora; Karyorelictea; Karyorelictea_X; Geleiidae; Geleiidae_X; Geleiidae_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
Eukaryota; Alveolata; Ciliophora; Karyorelictea; Karyorelictea_X; Trachelocercidae; Tracheloraphis; Tracheloraphis_huangi	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Litostomatea; Haptoria_5; Pleurostomatida; Pleurostomatida_X; Pleurostomatida_X_sp.	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	198	163	1	0	13	0	758	0	21	1116	0
Eukaryota; Alveolata; Ciliophora; Litostomatea; Litostomatea_X; Litostomatea_XX; Litostomatea_XXX; Litostomatea_XXX_sp.	0	0	982	5	4496	0	1	2147	7	1	1	70	2	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Litostomatea; Litostomatea_X; Litostomatea_XX; Pseudoholophrya; Pseudoholophrya_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Nassophorea; Nassophorea_X; Discotrichidae; NASSO_1; NASSO_1_sp.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Apostomatia; Apostomatia_X; Apostomatia_XX; Apostomatia_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Hymenostomatia; Tetrahymenida; Tetrahymenida_X; Tetrahymenida_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; OLIGO5; OLIGO5_X; OLIGO5_XX; OLIGO5_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	30	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; OLIGO6; OLIGO6_X; OLIGO6_XX; OLIGO6_XX_sp.	0	0	1	0	1	0	0	8	0	0	0	0	1	0	0	0	110	1	0	21	642	6	1	0	29	1
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; OLIGO8; OLIGO8_X; OLIGO8_XX; OLIGO8_XX_sp.	0	0	0	0	1	0	0	4	0	0	0	0	17	0	0	0	344	0	0	823	1375	8	1	0	355	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Oligohymenophorea_X; Oligohymenophorea_XX; Oligohymenophorea_XXX; Oligohymenophorea_XXX_sp.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	18	0	2	0	4	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Oligohymenophorea_X; Oligohymenophorea_XX; Paratetrahymena; Paratetrahymena_parawassi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Peniculia; Frontoniidae_1; Frontonia_1; Frontonia_1_elegans	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Peniculia; Frontoniidae_1; Frontonia_1; Frontonia_subtropica	0	0	55	0	3	0	0	1	0	0	0	0	79	0	0	0	0	0	1	1	16	1	0	1	2	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Peniculia; Lembadionidae; Lembadion; Lembadion_sp.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Peniculia; Peniculida; Peniculida_X; Peniculida_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Peritrichia_2; Sessilida; Sessilida_X; Sessilida_X_sp.	0	0	0	0	0	0	0	0	0	0	0	17	0	115	0	0	0	0	7	7	0	14	0	1	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_1; Philasterida; Philasterida_X; Philasterida_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_1; Philasterida; Uronemella; Uronemella_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Eurystomatellidae; Eurystomatella; Eurystomatella_sinica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Pleuronematida; Cyclidium_2; Cyclidium_plouneouri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	4	0	0	9	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Pleuronematida; Pleuronema; Pleuronema_coronatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Pleuronematidae_1; Pleuronema_1; Pleuronema_1_sp.	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Pleuronematidae_2; Pleuronema_2; Pleuronema_2_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	2	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Ancistrum; Ancistrum_crassum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Ancistrum; Ancistrum_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Boveria; Boveria_subcylindrica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cristigera; Cristigera_pleuronemoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cristigera; Cristigera_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	195	0	0	0	10	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cyclidium_3; Cyclidium_glaucoma	2	0	1	0	0	0	0	2	0	1	0	3	9	0	0	4	2	0	8	5	20	88	1	8	18	1
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cyclidium_3; Cyclidium_varibonneti	0	0	0	0	2	0	0	0	0	0	0	2	9	0	0	1	1	0	6	1	4	35	3	2	6	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Protocyclidium; Protocyclidium_citrullus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Scuticociliatia_2_XX; Scuticociliatia_2_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	45	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Cyrtophoria_1; PHYLL_4; PHYLL_4_X; PHYLL_4_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	19
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Cyrtophoria_4; Chilodonellidae; Chilodonellidae_X; Chilodonellidae_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	196	0	710	33	551	365	66	278	2883	15
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Cyrtophoria_5; Chlamydodontidae; Chlamydodon_1; Chlamydodon_1_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Rhynchodia; Hypocomidae; Hypocoma; Hypocoma_acinetarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Plagiopylea; Plagiopylea_X; Plagiopylida; Plagiopylida_X; Plagiopylida_X_sp.	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Plagiopylea; Plagiopylea_X; Plagiopylidae; Plagiopylidae_X; Plagiopylidae_X_sp.	0	0	1	0	3	0	0	15	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	763	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Choreotrichida_X; Choreotrichida_XX; Choreotrichida_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Strobilidiidae_A; Rimostrombidium_A; Rimostrombidium_veniliae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	2	1
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Strobilidiidae_A; Strobilidiidae_A_X; Strobilidiidae_A_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Strobilidiidae_C; Strobilidiidae_C_X; Strobilidiidae_C_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Strobilidiidae_E; Strobilidium_E; Strobilidium_E_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Strobilidiidae_F; Strobilidiidae_F_X; Strobilidiidae_F_X_sp.	17	4	8	88	33	0	8	3	3	4	1	1	0	5	50	21	41	101	40	8	25	4	10	4	6	202
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Strombidinopsidae; Parastrombidinopsis; Parastrombidinopsis_shimi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Euplotia; Uronychiidae; Pseudodiophrys; Pseudodiophrys_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Hypotrichia; Holostichidae; Anteholosticha; Anteholosticha_warreni	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Hypotrichia; Oxytrichidae; Oxytricha; Oxytricha_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Hypotrichia; Pseudokeronopsidae; Pseudokeronopsis; Pseudokeronopsis_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida_E; Strombidiida_E_X; Strombidiida_E_XX; Strombidiida_E_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_E; Strombidium_E; Strombidium_E_sp.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	20	32	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_G; Strombidiidae_G_X; Strombidiidae_G_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_H; Strombidiidae_H_X; Strombidiidae_H_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_K; Strombidium_K; Strombidium_K_sp.	8	116	24	2	0	0	2	2	2	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	3
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_M; Strombidium_M; Strombidium_caudispina	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	2	0	0	0	4	1	0	5
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_M; Strombidium_M; Strombidium_M_sp.	0	0	0	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	2	0	1	1	0	6
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_N; Strombidium_N; Strombidium_purpureum	0	0	0	0	0	0	0	6	1	0	0	0	15	0	0	0	30	0	1	10	26	1	0	0	5	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_R; Strombidium_R; Strombidium_basimorphum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	4	0	0	2
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_R; Strombidium_R; Strombidium_paracapitatum	0	0	1	0	0	0	1	0	2	0	0	0	0	0	22	1	1	66	6	0	4	1	10	2	1	6
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_R; Strombidium_R; Strombidium_R_sp.	91	72	82	656	0	65	273	5	162	42	16	2	48	69	8523	587	362	9042	25	5	39	3	1966	223	115	2507
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Cyrtostrombidium; Cyrtostrombidium_paralongisomum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Novistrombidium; Novistrombidium_apsheronicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Spirostrombidium; Spirostrombidium_subtropicum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	3	0	3
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Strombidiidae_X; Strombidiidae_X_sp.	2	0	0	6	0	0	7	0	7	1	0	4	3	12	0	2	1	5	12	0	5	5	4	2	1	8
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Strombidium; Strombidium_sp.	72	68	6	42	1	102	518	8	1481	695	17	166	62	238	222	0	0	0	0	0	35	3	488	87	307	2780
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Dictyocystidae; Dictyocysta; Dictyocysta_lepida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Eutintinnidae; Eutintinnus; Eutintinnus_sp.	14	0	3	16	3	0	0	0	0	0	0	0	12	0	0	0	0	0	89	2	0	0	333	32	143	269
