	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-33; Dino-Group-II-Clade-33_X; Dino-Group-II-Clade-33_X_sp.	43	256	6	39	0	62	151	54	241	170	11	4	0	26	292	34	4	212	365	21	42	27	7309	2021	6213	12100
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-30; Dino-Group-II-Clade-30_X; Dino-Group-II-Clade-30_X_sp.	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	2	3	1883	50	278	177	5891	2258	1204	11627
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-5; Dino-Group-II-Clade-5_X; Dino-Group-II-Clade-5_X_sp.	0	0	0	0	0	0	0	0	4	0	1	1	0	2	0	0	1	2	2	2	6	3	5976	2699	2016	10880
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-2; Dino-Group-II-Clade-2_X; Dino-Group-II-Clade-2_X_sp.	26	194	23	176	19	257	643	68	1178	633	35	20	79	69	6363	119	54	610	434	18	106	31	198	24	40	277
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-I; Dino-Group-I-Clade-4; Euduboscquella; Euduboscquella_crenulata	0	0	0	26	0	21	64	14	10	23	38	53	130	46	1422	448	677	1006	1	0	0	3	12	2	23	79
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II_X; Dino-Group-II_XX; Dino-Group-II_XX_sp.	14	10	14	366	50	76	184	23	389	191	12	22	17	37	926	119	46	689	283	29	52	47	146	32	77	187
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-4; Dino-Group-II-Clade-4_X; Dino-Group-II-Clade-4_X_sp.	9	9	0	63	1	20	45	9	126	60	12	22	24	60	1152	114	31	535	113	25	65	12	476	89	211	688
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-I; Dino-Group-I-Clade-4; Dino-Group-I-Clade-4_X; Dino-Group-I-Clade-4_X_sp.	81	0	50	85	326	19	1	15	0	39	0	0	12	5	1	0	1	1	29	0	32	2	666	293	398	1763
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-3; Dino-Group-II-Clade-3_X; Dino-Group-II-Clade-3_X_sp.	119	693	110	34	43	8	29	3	202	13	3	2	4	0	0	0	1	0	0	0	1	0	6	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-16; Dino-Group-II-Clade-16_X; Dino-Group-II-Clade-16_X_sp.	19	13	3	287	82	110	92	14	262	61	2	0	1	1	0	0	0	1	0	0	0	0	6	2	16	19
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-10-and-11; Dino-Group-II-Clade-10-and-11_X; Dino-Group-II-Clade-10-and-11_X_sp.	247	233	38	1	0	0	0	0	0	18	0	0	0	0	0	0	0	3	77	4	2	1	81	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-17; Dino-Group-II-Clade-17_X; Dino-Group-II-Clade-17_X_sp.	0	0	0	0	0	1	5	2	0	4	0	0	0	0	0	0	0	0	334	8	30	16	20	1	5	42
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-6; Dino-Group-II-Clade-6_X; Dino-Group-II-Clade-6_X_sp.	0	0	0	0	1	0	2	0	1	7	0	0	0	0	0	0	0	0	1	0	0	0	300	1	13	22
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-15; Dino-Group-II-Clade-15_X; Dino-Group-II-Clade-15_X_sp.	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	65	14	67	98
